source,unit,claim_set,token,figure,unit_len,null_200,nullword_200,null_400,nullword_400,null_0,nullword_0
LEADERBOARD,5,CS_ARGMAX,margin,31%,1039,False,True,False,True,True,True
LEADERBOARD,6,CS_MAXDD,MaxDD,18.31%,1158,False,False,False,False,False,False
LEADERBOARD,8,CS_MAXDD,MaxDD,18.31%,801,False,False,False,False,False,False
LEADERBOARD,8,CS_ARGMAX,margin,18.31%,801,False,False,False,False,False,False
LEADERBOARD,8,CS_ARGMAX,margin,18.31%,801,False,False,False,False,False,False
LEADERBOARD,8,CS_ARGMAX,margin,22.14%,801,False,False,False,False,False,False
LEADERBOARD,8,CS_ARGMAX,margin,15.13%,801,False,False,False,False,False,False
LEADERBOARD,8,CS_ARGMAX,margin,15.13%,801,False,False,False,False,False,False
LEADERBOARD,10,CS_SPREAD,spread,50 bps,825,False,False,False,False,False,False
LEADERBOARD,10,CS_SPREAD,spread,50 bps,825,False,False,False,False,False,False
LEADERBOARD,11,CS_MAXDD,drawdown,23.29%,809,False,False,False,False,False,False
LEADERBOARD,15,CS_SPREAD,spread,10 bps,464,False,False,False,False,False,False
LEADERBOARD,15,CS_ARGMAX,margin,10 bps,464,False,False,False,False,False,False
LEADERBOARD,19,CS_MAXDD,DD cap,15.13%,757,False,False,False,False,False,False
LEADERBOARD,19,CS_SPREAD,band,15.13%,757,False,False,False,False,False,False
LEADERBOARD,21,CS_MAXDD,DD cap,1.57 pp,1169,False,False,False,False,False,False
LEADERBOARD,21,CS_ARGMAX,margin,+1.11 pp,1169,False,False,False,False,False,False
LEADERBOARD,21,CS_ARGMAX,margin,11 pp,1169,False,False,False,False,False,False
LEADERBOARD,21,CS_ARGMAX,margin,1.57 pp,1169,False,False,False,False,False,False
LEADERBOARD,21,CS_ARGMAX,margin,1.57 pp,1169,False,False,False,False,False,False
LEADERBOARD,22,CS_SPREAD,band,1pp,907,False,False,False,False,False,False
LEADERBOARD,22,CS_SPREAD,spread,23.1%,907,False,False,False,False,False,False
LEADERBOARD,22,CS_SPREAD,spread,23.1%,907,False,False,False,False,False,False
LEADERBOARD,22,CS_ARGMAX,margin,1pp,907,False,False,False,False,False,False
LEADERBOARD,22,CS_ARGMAX,margin,1pp,907,False,False,False,False,False,False
LEADERBOARD,22,CS_ARGMAX,margin,23.1%,907,False,False,False,False,False,False
LEADERBOARD,23,CS_SPREAD,spread,+0.10pp,1174,False,False,False,False,False,False
LEADERBOARD,23,CS_ARGMAX,margin,14.38%,1174,False,False,False,False,False,False
LEADERBOARD,23,CS_ARGMAX,margin,+0.10pp,1174,False,False,False,False,False,False
LEADERBOARD,24,CS_SPREAD,spread,14.38%,1202,False,False,False,False,False,False
LEADERBOARD,24,CS_ARGMAX,beats the live book by,14.38%,1202,False,False,False,False,False,False
LEADERBOARD,29,CS_MAXDD,drawdown,5.67%,1374,False,False,False,False,False,False
LEADERBOARD,35,CS_MAXDD,drawdown,12.05%,900,True,False,True,False,True,False
LEADERBOARD,40,CS_MAXDD,drawdown,13.02%,749,False,False,False,False,False,False
LEADERBOARD,41,CS_MAXDD,drawdown,7.75%,838,False,False,False,False,False,False
LEADERBOARD,48,CS_SPREAD,band,24%,1208,False,False,False,False,False,False
LEADERBOARD,48,CS_SPREAD,band,4%,1208,False,False,False,False,False,False
LEADERBOARD,50,CS_MAXDD,MaxDD,+0.97%,1191,False,False,False,False,False,False
LEADERBOARD,50,CS_MAXDD,drawdown,5.9 pp,1191,False,False,False,False,False,False
LEADERBOARD,50,CS_SPREAD,range,+0.97%,1191,False,False,False,False,False,False
LEADERBOARD,50,CS_ARGMAX,best pick,16.14%,1191,False,False,False,False,False,False
LEADERBOARD,50,CS_ARGMAX,best pick,16.14%,1191,False,False,False,False,False,False
LEADERBOARD,53,CS_MAXDD,MaxDD,24.50 pp,948,False,False,False,False,False,False
LEADERBOARD,54,CS_MAXDD,MaxDD,1.90 pp,827,False,False,False,False,False,False
LEADERBOARD,55,CS_MAXDD,MaxDD,82%,1255,False,False,False,False,False,False
LEADERBOARD,56,CS_SPREAD,band,14.02%,683,False,False,False,False,False,False
LEADERBOARD,59,CS_MAXDD,MaxDD,300 bps,772,False,False,False,False,False,False
LEADERBOARD,63,CS_ARGMAX,margin,31.1%,905,False,False,False,False,False,False
LEADERBOARD,65,CS_MAXDD,DRAWDOWN,8 pp,724,False,False,False,False,False,False
LEADERBOARD,70,CS_MAXDD,drawdown,-36%,1309,False,False,False,False,False,False
LEADERBOARD,70,CS_ARGMAX,margin,0 bps,1309,False,False,False,False,False,False
LEADERBOARD,73,CS_MAXDD,DD cap,25 bps,1221,False,False,False,False,False,False
LEADERBOARD,73,CS_ARGMAX,margin,25 bps,1221,False,False,False,False,False,False
LEADERBOARD,74,CS_MAXDD,drawdown,2.08e-17,611,False,False,False,False,False,False
LEADERBOARD,74,CS_MAXDD,MaxDD,2.08e-17,611,False,False,False,False,False,False
LEADERBOARD,75,CS_MAXDD,MaxDD,9.22 pp,1106,False,False,False,False,False,False
LEADERBOARD,75,CS_MAXDD,MaxDD,-33.72%,1106,False,False,False,False,False,False
LEADERBOARD,75,CS_ARGMAX,margin,9.22 pp,1106,False,False,False,False,False,False
LEADERBOARD,75,CS_ARGMAX,margin,25%,1106,False,False,False,False,False,False
LEADERBOARD,76,CS_MAXDD,MaxDD,100%,818,False,False,False,False,False,False
LEADERBOARD,76,CS_MAXDD,MaxDD,80%,818,False,False,False,False,False,False
LEADERBOARD,77,CS_MAXDD,MaxDD,14.3%,1029,False,False,False,False,False,False
LEADERBOARD,78,CS_MAXDD,MaxDD,6.57 pp,877,False,False,False,False,False,False
LEADERBOARD,78,CS_MAXDD,MaxDD,6.57 pp,877,False,False,False,False,False,False
LEADERBOARD,78,CS_ARGMAX,margin,6.57 pp,877,False,False,False,False,False,False
LEADERBOARD,78,CS_ARGMAX,margin,38.9%,877,False,False,False,False,False,False
LEADERBOARD,78,CS_ARGMAX,margin,39.2%,877,False,False,False,False,False,False
LEADERBOARD,79,CS_MAXDD,MaxDD,2.34%,1169,False,False,False,False,False,False
LEADERBOARD,79,CS_MAXDD,DD cap,-3.32%,1169,False,False,False,False,False,False
LEADERBOARD,79,CS_MAXDD,DD CAP,+4.13 pp,1169,False,False,False,False,False,False
LEADERBOARD,79,CS_SPREAD,band,2.34%,1169,False,False,False,False,False,False
LEADERBOARD,79,CS_ARGMAX,margin,-3.32%,1169,False,False,False,False,False,False
LEADERBOARD,79,CS_ARGMAX,margin,-3.32%,1169,False,False,False,False,False,False
