timing,panel,anchor,ladder,fold,pick_CH_ISSHARPE,oos_CH_ISSHARPE,pick_CH_ISCAGR,oos_CH_ISCAGR,pick_CH_ISDD,oos_CH_ISDD
T_REC,U56,A,N,2012,"(40, 126, 0.75, 'W')",1.143061845847082,"(5, 126, 0.75, 'W')",3.5714778192360166,"(40, 126, 0.75, 'W')",1.143061845847082
T_REC,U56,A,H,2012,"(20, 63, 0.75, 'W')",0.7771558567998625,"(20, 63, 0.75, 'W')",0.7771558567998625,"(20, 21, 0.75, 'W')",0.9006239655936198
T_REC,U56,A,GROSS,2012,"(20, 126, 0.6, 'W')",1.3682882628195054,"(20, 126, 0.75, 'W')",1.3693011705147728,"(20, 126, 0.3, 'W')",1.3660283094587615
T_REC,U56,A,CADENCE,2012,"(20, 126, 0.75, 'D')",0.6300097080494177,"(20, 126, 0.75, 'D')",0.6300097080494177,"(20, 126, 0.75, 'D')",0.6300097080494177
T_REC,U56,A,N,2013,"(5, 126, 0.75, 'W')",2.6912639138610377,"(5, 126, 0.75, 'W')",2.6912639138610377,"(40, 126, 0.75, 'W')",2.737884542373241
T_REC,U56,A,H,2013,"(20, 252, 0.75, 'W')",2.5625492548766977,"(20, 252, 0.75, 'W')",2.5625492548766977,"(20, 21, 0.75, 'W')",2.8575396297113307
T_REC,U56,A,GROSS,2013,"(20, 126, 0.75, 'W')",2.1211602800157348,"(20, 126, 0.75, 'W')",2.1211602800157348,"(20, 126, 0.3, 'W')",2.1186820211958617
T_REC,U56,A,CADENCE,2013,"(20, 126, 0.75, 'W')",2.1211602800157348,"(20, 126, 0.75, 'W')",2.1211602800157348,"(20, 126, 0.75, 'D')",2.671628288002132
T_REC,U56,A,N,2014,"(5, 126, 0.75, 'W')",0.6788111709850493,"(5, 126, 0.75, 'W')",0.6788111709850493,"(40, 126, 0.75, 'W')",1.040183702032041
T_REC,U56,A,H,2014,"(20, 21, 0.75, 'W')",1.0968907777136978,"(20, 252, 0.75, 'W')",1.085852432711334,"(20, 21, 0.75, 'W')",1.0968907777136978
T_REC,U56,A,GROSS,2014,"(20, 126, 0.75, 'W')",1.040959571696618,"(20, 126, 0.75, 'W')",1.040959571696618,"(20, 126, 0.3, 'W')",1.0302623197004994
T_REC,U56,A,CADENCE,2014,"(20, 126, 0.75, 'D')",0.8248015380058358,"(20, 126, 0.75, 'D')",0.8248015380058358,"(20, 126, 0.75, 'D')",0.8248015380058358
T_REC,U56,A,N,2015,"(5, 126, 0.75, 'W')",0.7620859007672767,"(5, 126, 0.75, 'W')",0.7620859007672767,"(40, 126, 0.75, 'W')",0.757782065794782
T_REC,U56,A,H,2015,"(20, 21, 0.75, 'W')",0.9893573091249236,"(20, 252, 0.75, 'W')",1.1497132694946832,"(20, 21, 0.75, 'W')",0.9893573091249236
T_REC,U56,A,GROSS,2015,"(20, 126, 0.75, 'W')",1.0570615781419022,"(20, 126, 0.75, 'W')",1.0570615781419022,"(20, 126, 0.3, 'W')",1.0538475172887882
T_REC,U56,A,CADENCE,2015,"(20, 126, 0.75, 'M')",0.8462000481210108,"(20, 126, 0.75, 'D')",0.8140028950511321,"(20, 126, 0.75, 'D')",0.8140028950511321
T_REC,U56,A,N,2016,"(5, 126, 0.75, 'W')",1.4192628731737325,"(5, 126, 0.75, 'W')",1.4192628731737325,"(40, 126, 0.75, 'W')",1.2635155755303444
T_REC,U56,A,H,2016,"(20, 21, 0.75, 'W')",1.1983128928443212,"(20, 252, 0.75, 'W')",1.1992107849010638,"(20, 21, 0.75, 'W')",1.1983128928443212
T_REC,U56,A,GROSS,2016,"(20, 126, 0.75, 'W')",1.2759477840187012,"(20, 126, 0.75, 'W')",1.2759477840187012,"(20, 126, 0.3, 'W')",1.2790539788782396
T_REC,U56,A,CADENCE,2016,"(20, 126, 0.75, 'W')",1.2759477840187012,"(20, 126, 0.75, 'W')",1.2759477840187012,"(20, 126, 0.75, 'D')",1.0378671383031344
T_REC,U56,A,N,2017,"(5, 126, 0.75, 'W')",2.2306383563340697,"(5, 126, 0.75, 'W')",2.2306383563340697,"(40, 126, 0.75, 'W')",2.787461119822021
T_REC,U56,A,H,2017,"(20, 21, 0.75, 'W')",2.0978897701257613,"(20, 252, 0.75, 'W')",2.4612528782666536,"(20, 21, 0.75, 'W')",2.0978897701257613
T_REC,U56,A,GROSS,2017,"(20, 126, 0.75, 'W')",2.461506267093487,"(20, 126, 0.75, 'W')",2.461506267093487,"(20, 126, 0.3, 'W')",2.452411460767703
T_REC,U56,A,CADENCE,2017,"(20, 126, 0.75, 'W')",2.461506267093487,"(20, 126, 0.75, 'W')",2.461506267093487,"(20, 126, 0.75, 'D')",2.527193350371787
T_REC,U56,A,N,2018,"(5, 126, 0.75, 'W')",0.7043384169258897,"(5, 126, 0.75, 'W')",0.7043384169258897,"(40, 126, 0.75, 'W')",0.049432354783603125
T_REC,U56,A,H,2018,"(20, 252, 0.75, 'W')",0.1713305928751736,"(20, 252, 0.75, 'W')",0.1713305928751736,"(20, 21, 0.75, 'W')",0.6828078453333468
T_REC,U56,A,GROSS,2018,"(20, 126, 0.75, 'W')",0.24685072310406647,"(20, 126, 0.75, 'W')",0.24685072310406647,"(20, 126, 0.3, 'W')",0.247415013841003
T_REC,U56,A,CADENCE,2018,"(20, 126, 0.75, 'W')",0.24685072310406647,"(20, 126, 0.75, 'W')",0.24685072310406647,"(20, 126, 0.75, 'D')",0.23538259783921353
T_REC,U56,A,N,2019,"(5, 126, 0.75, 'W')",0.8303479223448491,"(5, 126, 0.75, 'W')",0.8303479223448491,"(40, 126, 0.75, 'W')",2.4107290488586046
T_REC,U56,A,H,2019,"(20, 21, 0.75, 'W')",2.4670421190388256,"(20, 252, 0.75, 'W')",2.4231994690047616,"(20, 21, 0.75, 'W')",2.4670421190388256
T_REC,U56,A,GROSS,2019,"(20, 126, 0.75, 'W')",2.0241397430466384,"(20, 126, 0.75, 'W')",2.0241397430466384,"(20, 126, 0.3, 'W')",2.0193732709235586
T_REC,U56,A,CADENCE,2019,"(20, 126, 0.75, 'W')",2.0241397430466384,"(20, 126, 0.75, 'W')",2.0241397430466384,"(20, 126, 0.75, 'M')",2.529911870315544
T_REC,U56,A,N,2020,"(12, 126, 0.75, 'W')",0.8708579644532329,"(5, 126, 0.75, 'W')",0.29117226674056756,"(40, 126, 0.75, 'W')",1.0164025507334218
T_REC,U56,A,H,2020,"(20, 21, 0.75, 'W')",1.064709692425151,"(20, 252, 0.75, 'W')",1.3393877103653813,"(20, 21, 0.75, 'W')",1.064709692425151
T_REC,U56,A,GROSS,2020,"(20, 126, 0.75, 'W')",1.1207437590629235,"(20, 126, 0.75, 'W')",1.1207437590629235,"(20, 126, 0.3, 'W')",1.1202237781474795
T_REC,U56,A,CADENCE,2020,"(20, 126, 0.75, 'W')",1.1207437590629235,"(20, 126, 0.75, 'W')",1.1207437590629235,"(20, 126, 0.75, 'M')",1.1635542269773376
T_REC,U56,A,N,2021,"(12, 126, 0.75, 'W')",1.0408911832154983,"(5, 126, 0.75, 'W')",0.44039637455441255,"(8, 126, 0.75, 'W')",1.1442438682531044
T_REC,U56,A,H,2021,"(20, 21, 0.75, 'W')",1.6249568518248958,"(20, 252, 0.75, 'W')",1.2422117779392865,"(20, 126, 0.75, 'W')",1.2999268481793027
T_REC,U56,A,GROSS,2021,"(20, 126, 0.75, 'W')",1.2999268481793027,"(20, 126, 0.75, 'W')",1.2999268481793027,"(20, 126, 0.3, 'W')",1.2949538395322688
T_REC,U56,A,CADENCE,2021,"(20, 126, 0.75, 'Q')",1.659480338928244,"(20, 126, 0.75, 'W')",1.2999268481793027,"(20, 126, 0.75, 'W')",1.2999268481793027
T_REC,U56,A,N,2022,"(15, 126, 0.75, 'W')",-0.06849016472689395,"(5, 126, 0.75, 'W')",0.2764386472659106,"(8, 126, 0.75, 'W')",0.47654081002407306
T_REC,U56,A,H,2022,"(20, 21, 0.75, 'W')",-0.7207751473751302,"(20, 252, 0.75, 'W')",-0.3854190039827091,"(20, 126, 0.75, 'W')",-0.5006101751476407
T_REC,U56,A,GROSS,2022,"(20, 126, 0.75, 'W')",-0.5006101751476407,"(20, 126, 0.75, 'W')",-0.5006101751476407,"(20, 126, 0.3, 'W')",-0.5039271808483209
T_REC,U56,A,CADENCE,2022,"(20, 126, 0.75, 'Q')",-0.20646695199093548,"(20, 126, 0.75, 'Q')",-0.20646695199093548,"(20, 126, 0.75, 'W')",-0.5006101751476407
T_REC,U56,A,N,2023,"(15, 126, 0.75, 'W')",1.794539798961546,"(5, 126, 0.75, 'W')",1.3043869317085086,"(8, 126, 0.75, 'W')",1.5464502714989405
T_REC,U56,A,H,2023,"(20, 21, 0.75, 'W')",1.6726075434889813,"(20, 252, 0.75, 'W')",2.124134577476324,"(20, 126, 0.75, 'W')",1.6317978416147092
T_REC,U56,A,GROSS,2023,"(20, 126, 0.75, 'W')",1.6317978416147092,"(20, 126, 0.75, 'W')",1.6317978416147092,"(20, 126, 0.3, 'W')",1.6318117441851465
T_REC,U56,A,CADENCE,2023,"(20, 126, 0.75, 'Q')",1.3860479039872637,"(20, 126, 0.75, 'Q')",1.3860479039872637,"(20, 126, 0.75, 'W')",1.6317978416147092
T_REC,U56,A,N,2024,"(15, 126, 0.75, 'W')",2.1906815006851157,"(5, 126, 0.75, 'W')",2.4234084285760185,"(8, 126, 0.75, 'W')",2.583211197385232
T_REC,U56,A,H,2024,"(20, 252, 0.75, 'W')",2.3325373717956306,"(20, 252, 0.75, 'W')",2.3325373717956306,"(20, 126, 0.75, 'W')",2.0107100544099614
T_REC,U56,A,GROSS,2024,"(20, 126, 0.75, 'W')",2.0107100544099614,"(20, 126, 0.75, 'W')",2.0107100544099614,"(20, 126, 0.3, 'W')",2.0126754999420853
T_REC,U56,A,CADENCE,2024,"(20, 126, 0.75, 'Q')",2.0526792237547498,"(20, 126, 0.75, 'Q')",2.0526792237547498,"(20, 126, 0.75, 'W')",2.0107100544099614
T_REC,U56,A,N,2025,"(12, 126, 0.75, 'W')",1.0539185643758706,"(5, 126, 0.75, 'W')",0.4809381964635287,"(8, 126, 0.75, 'W')",0.7840351189045243
T_REC,U56,A,H,2025,"(20, 252, 0.75, 'W')",0.9979601765834367,"(20, 252, 0.75, 'W')",0.9979601765834367,"(20, 126, 0.75, 'W')",1.3462246927193162
T_REC,U56,A,GROSS,2025,"(20, 126, 0.75, 'W')",1.3462246927193162,"(20, 126, 0.75, 'W')",1.3462246927193162,"(20, 126, 0.3, 'W')",1.3396755764351866
T_REC,U56,A,CADENCE,2025,"(20, 126, 0.75, 'Q')",1.3897680584662615,"(20, 126, 0.75, 'D')",0.9768363466798017,"(20, 126, 0.75, 'W')",1.3462246927193162
T_REC,U56,B,N,2012,"(8, 63, 0.55, 'M')",0.8158289464199493,"(5, 63, 0.55, 'M')",0.6193213254245415,"(40, 63, 0.55, 'M')",1.1421314352159853
T_REC,U56,B,H,2012,"(12, 63, 0.55, 'M')",0.8591055112424718,"(12, 63, 0.55, 'M')",0.8591055112424718,"(12, 21, 0.55, 'M')",1.0868104903646405
