sclass,repair,n,n_degenerate,rate_degenerate,n_signflip,rate_signflip,n_blowup,rate_blowup,med_zrel,med_ratio,max_ratio
LEVEL,R_ASIS,120,14,0.11666666666666667,0,0.0,7,0.058333333333333334,0.19367521675442706,1.2392529849914025,28.50591563376189
LEVEL,R_FROZEN,120,10,0.08333333333333333,0,0.0,5,0.041666666666666664,0.2135586203260441,1.2347177739200297,14.14757283174758
LEVEL,R_COUNT,120,14,0.11666666666666667,0,0.0,5,0.041666666666666664,0.13934219702471964,1.9371949324834252,28.50591563376189
LEVEL,R_BOTH,120,20,0.16666666666666666,0,0.0,0,0.0,0.1497444599708324,1.8317185550651425,8.497197979207384
SPREAD,R_ASIS,120,8,0.06666666666666667,0,0.0,1,0.008333333333333333,0.0962879483135839,2.1194237621828442,11.796207723270932
SPREAD,R_FROZEN,120,30,0.25,0,0.0,5,0.041666666666666664,0.06625324801789358,2.821507353613261,11.796207723270932
SPREAD,R_COUNT,120,30,0.25,0,0.0,0,0.0,0.06862652954556364,3.0328114001792006,6.246976990874908
SPREAD,R_BOTH,120,20,0.16666666666666666,0,0.0,0,0.0,0.06313030715323784,3.204257618697799,5.536209936876018
RATIO,R_ASIS,120,38,0.31666666666666665,0,0.0,15,0.125,0.10300378191595358,1.973190953014516,349.6947669465931
RATIO,R_FROZEN,120,30,0.25,0,0.0,10,0.08333333333333333,0.11779182662070731,2.2520769638625318,49.12043648776099
RATIO,R_COUNT,120,26,0.21666666666666667,0,0.0,4,0.03333333333333333,0.10576284095016744,2.322638007657263,73.6806547316415
RATIO,R_BOTH,120,30,0.25,0,0.0,5,0.041666666666666664,0.10528388541129047,2.104247968142536,73.6806547316415
