claim_set,n_claims,ladder_class,n,share
C_STRICT,60,LAD_3POINT,15,0.25
C_STRICT,60,LAD_SUBSET,13,0.21666666666666667
C_STRICT,60,LAD_SUPERSET,6,0.1
C_STRICT,60,LAD_OFF,26,0.43333333333333335
C_PROX,124,LAD_3POINT,15,0.12096774193548387
C_PROX,124,LAD_SUBSET,60,0.4838709677419355
C_PROX,124,LAD_SUPERSET,4,0.03225806451612903
C_PROX,124,LAD_OFF,45,0.3629032258064516
C_ALL,242,LAD_3POINT,18,0.0743801652892562
C_ALL,242,LAD_SUBSET,137,0.5661157024793388
C_ALL,242,LAD_SUPERSET,9,0.0371900826446281
C_ALL,242,LAD_OFF,78,0.32231404958677684
