cell,panel,arm,book,n_bars,observed,N_IID,N_BLOCK,phi_L63,denom,iid_seed_spread,block_seed_spread,se_iid,se_block,phi_seed_min,phi_seed_max,phi_seed_spread,CAGR,Sharpe,MaxDD,band_lo_0.8,band_hi_0.8,band_width_0.8,band_lo_spread_0.8,band_hi_spread_0.8,band_lo_0.9,band_hi_0.9,band_width_0.9,band_lo_spread_0.9,band_hi_spread_0.9,band_lo_0.95,band_hi_0.95,band_width_0.95,band_lo_spread_0.95,band_hi_spread_0.95,bar_R_1164,phi_est_R_1164,band_bar_R_1164,band_est_R_1164,bar_R_STRICT,phi_est_R_STRICT,band_bar_R_STRICT,band_est_R_STRICT,bar_R_LOOSE,phi_est_R_LOOSE,band_bar_R_LOOSE,band_est_R_LOOSE,bar_R_TSTAT,phi_est_R_TSTAT,band_bar_R_TSTAT,band_est_R_TSTAT
U56/N5/H63/W,U56,POP,N5/H63/W,4446,26.26459628371725,32.91164636854576,26.68323998044115,0.9370181221171434,-6.647050084828511,0.7488462351176963,0.3267664015906355,0.3268151899061813,0.146396849230495,0.8939626757060029,0.9526988277036553,0.058736151997652475,0.18977511597180818,1.0083089004227346,-0.2626459628371727,20.859296722707413,34.195348775227004,13.336052052519591,0.7078595067010376,0.8389623142992377,19.8902616118676,36.427123947384096,16.536862335516496,0.6268022818788168,1.694800319012863,18.39756130354116,39.15542573643436,20.7578644328932,0.7261016378392391,1.8586331952385748,2.246538705353089,True,5.084400957038589,True,3.7442311755884816,True,8.474001595064315,True,0.7488462351176963,True,1.694800319012863,True,0.6536303798123626,True,0.6536303798123626,True
U56/N5/H63/M,U56,POP,N5/H63/M,4446,26.948342611551094,33.46141622776591,27.781621817392953,0.8720605270348329,-6.513073616214815,0.9619838145313508,0.8332792058418583,0.32853404941484854,0.22029921830457333,0.8720605270348329,1.0,0.12793947296516706,0.1474694307717812,0.8395671766148002,-0.2694834261155111,21.694937131547288,36.05168461921352,14.35674748766623,0.9835434466388868,0.6678004208212585,20.302894647011566,39.03828596736936,18.735391320357795,1.2231152029859338,0.7767159676141802,18.848044013405495,41.6437342799765,22.795690266571004,0.7719043734292299,1.5769430352381804,2.8859514435940525,True,3.6693456089578014,True,4.809919072656754,True,6.115576014929669,True,0.9619838145313508,True,1.2231152029859338,True,0.6570680988296971,True,0.6570680988296971,True
U56/N5/H126/W,U56,POP,N5/H126/W,4446,25.853597058015552,31.264182800892193,27.117157117505602,0.7664651999732927,-5.410585742876641,0.8949610530194185,0.4829906451241541,0.27643837446555963,0.18539676507903557,0.699376699926639,0.7758301037646715,0.07645340383803256,0.17793757695658097,0.9844672527247917,-0.2585359705801561,21.44235351671774,35.95706702176869,14.514713505050945,0.5469815706898231,0.6130164863209799,19.953913372406813,38.524353158512696,18.570439786105883,0.4076303836797237,1.7577614146436247,18.863526593871256,42.70155951325598,23.838032919384723,0.4296987977029545,2.4055749785670457,2.6848831590582556,True,5.273284243930874,True,4.474805265097093,True,8.788807073218123,True,0.8949610530194185,True,1.7577614146436247,True,0.5528767489311193,True,0.5528767489311193,True
U56/N5/H126/M,U56,POP,N5/H126/M,4446,26.948342611551094,32.441333682418396,29.364467296164086,0.5601440720653666,-5.492991070867301,0.3855102927526275,0.5222668289016212,0.3062328868575115,0.2306042600210798,0.5601440720653666,0.650321647083799,0.09017757501843238,0.18282465592136465,0.981991741091729,-0.2694834261155109,23.19378352752702,38.7049594703127,15.51117594278568,0.4138042849216532,0.5132378067541978,21.458238559261286,41.62479593505081,20.166557375789527,0.1482679564199998,1.1534464657786216,20.753463314434757,43.69556500697764,22.94210169254288,0.7813759066752155,2.209927951465069,1.5668004867048637,True,3.460339397335865,True,2.611334144508106,True,5.767232328893108,True,0.5222668289016212,True,1.1534464657786216,True,0.612465773715023,True,0.612465773715023,True
U56/N5/H252/W,U56,POP,N5/H252/W,4446,30.642338630654486,29.589942471896077,27.786625983368523,-1.713533894550757,1.052396158758409,0.6939854458987895,0.8106618470277418,0.4289923443573791,0.20274660509139508,-3.389906161831802,-0.9440577119318986,2.4458484498999034,0.17682565255928706,1.0178689742992235,-0.30642338630654453,21.644212766682493,37.26817323179651,15.623960465114017,0.5802690532358561,1.253263178903822,20.633681625761685,40.33481198696841,19.701130361206726,0.8076382182975301,1.5030961917932615,19.396171560160926,43.294492085375325,23.898320525214398,0.8418918830791746,1.8115365892460744,2.4319855410832254,False,4.5092885753797844,True,4.053309235138709,False,7.515480958966307,True,0.8106618470277418,True,1.5030961917932615,True,0.8579846887147582,True,0.8579846887147582,True
U56/N5/H252/M,U56,POP,N5/H252/M,4446,32.60644482299841,31.72205781458288,31.374816927939207,-0.39263454046638235,0.8843870084155334,0.9646527261317601,0.599134467690078,0.3510304617114013,0.3113091284908087,-2.695229754974615,-0.21563231949261907,2.4795974354819963,0.1615631474127277,0.9252133235961741,-0.3260644482299847,24.096656728540726,42.106806060320025,18.0101493317793,0.24586425581356508,1.5475966153045846,22.89550890826381,45.57390500994549,22.67839610168168,1.5675314043415653,1.4401817202332552,21.393106734541245,49.56551466992109,28.172407935379848,0.7247631985781666,1.1554430728268272,2.8939581783952804,False,4.702594213024696,True,4.823263630658801,False,7.837657021707827,True,0.9646527261317601,False,1.5675314043415653,True,0.7020609234228026,True,0.7020609234228026,True
U56/N10/H63/W,U56,POP,N10/H63/W,4446,27.687075051048822,25.811282905549085,27.687075051048776,0.9999999999999754,1.8757921454997373,0.5588386027440109,2.842170943040401e-14,0.24008866625631953,1.4210854715202004e-14,0.9999999999999543,0.9999999999999755,2.120525977034049e-14,0.1916912172617915,1.169065355310175,-0.27687075051048815,18.242570405627152,32.16102000447058,13.918449598843427,0.27496709682608866,0.7606335252295864,16.89359232919404,35.69524993513252,18.801657605938484,0.4529392929662457,1.7950484089630123,16.018120127789214,37.69414957783481,21.676029450045593,0.17529233140162148,1.5511986342521027,1.6765158082320326,True,5.385145226889037,True,2.7941930137200544,False,8.975242044815062,True,0.5588386027440109,True,1.7950484089630123,True,0.48017733251263905,True,0.48017733251263905,True
U56/N10/H63/M,U56,POP,N10/H63/M,4446,27.635183891688325,27.705476288820577,27.635183891688325,1.0,-0.07029239713225266,0.6948355719137673,0.0,0.24061961783388064,0.0,1.0,1.0,0.0,0.15924767452332755,1.010818545285542,-0.27635183891688375,18.505361430748906,32.927275581089425,14.42191415034052,0.4625560423857422,0.9380023788410483,17.25150908977857,36.394633107944536,19.143124018165967,0.3557721039421047,1.5112695829307867,16.57513771340921,39.72976052173079,23.15462280832158,0.8874159586333779,1.9161123084110017,2.084506715741302,False,4.53380874879236,True,3.4741778595688366,False,7.556347914653934,True,0.6948355719137673,False,1.5112695829307867,True,0.4812392356677613,False,0.4812392356677613,True
U56/N10/H126/W,U56,POP,N10/H126/W,4446,20.77105444573783,25.29811587794618,22.539229431440656,0.6094210312405034,-4.527061432208352,0.338906134073202,0.3673964701891492,0.3019865166285971,0.16382043441841532,0.520508319857343,0.6094210312405034,0.08891271138316037,0.1706480647095283,1.1092301119509238,-0.20771054445737913,17.838741444362462,29.89826274574908,12.059521301386617,0.4132772747168545,0.7096539850700907,16.816491149784742,32.26583089109006,15.44933974130532,0.5415172326472764,1.5532747861597045,16.145796204681012,34.21650772568455,18.07071152100354,0.8784779413236503,2.2167091094247624,1.1021894105674477,True,4.6598243584791135,True,1.8369823509457461,True,7.7663739307985225,True,0.3673964701891492,True,1.5532747861597045,True,0.6039730332571942,True,0.6039730332571942,True
U56/N10/H126/M,U56,POP,N10/H126/M,4446,24.802819358493462,26.113113144579838,24.802819358493473,0.9999999999999919,-1.3102937860863761,0.4972974881879644,1.0658141036401503e-14,0.20872194155871782,5.329070518200751e-15,0.9999999999999919,1.0,8.104628079763643e-15,0.17662260306676658,1.1188258041783514,-0.24802819358493478,18.595882031839057,30.423815953672197,11.82793392183314,0.4346094297621441,0.9834652436894338,17.039238210187442,33.38327210758941,16.34403389740197,0.754944954214853,1.9492244355545019,15.552806005266646,36.17320337184047,20.620397366573826,0.5445727464550636,2.8771324336947615,1.4918924645638931,False,5.847673306663506,True,2.486487440939822,False,9.74612217777251,True,0.4972974881879644,True,1.9492244355545019,True,0.41744388311743563,True,0.41744388311743563,True
U56/N10/H252/W,U56,POP,N10/H252/W,4446,23.298952459620786,25.946925922403345,23.00448273582738,1.111205692931669,-2.6479734627825593,0.6257952985140705,0.7873431545394709,0.25351035132756294,0.20885186087934215,0.9258011367448732,1.2015688364764756,0.2757676997316024,0.14771395201550463,0.9958036202653912,-0.2329895245962078,17.66007294474473,30.50326551246519,12.843192567720461,0.44013093918145785,0.9728242434460519,16.93711585765607,32.81679030026116,15.87967444260509,0.14934647062501938,0.6775263939066463,16.858580526019786,35.96611337720835,19.107532851188566,0.5533223780158707,0.7067125850622489,2.3620294636184127,True,2.032579181719939,True,3.9367157726973545,False,3.3876319695332313,True,0.7873431545394709,True,0.6775263939066463,True,0.5070207026551259,True,0.5070207026551259,True
U56/N10/H252/M,U56,POP,N10/H252/M,4446,22.856746329128264,26.354802563950315,23.702583908843696,0.758197832471821,-3.4980562348220516,0.39475819095437004,0.7196747995221706,0.2570574082467658,0.2309934403694225,0.6922097028848718,0.8827018064549127,0.19049210357004087,0.17030229545507192,1.0756853242347766,-0.22856746329128208,20.094800685689144,31.224615327804454,11.12981464211531,0.6476257171717776,1.3184888513503026,18.097258760835132,33.87647862977356,15.779219868938426,0.9080011204027265,1.1382417188862135,17.163122502761286,36.71191184592099,19.5487893431597,0.7616821848736244,1.7970184833894365,2.159024398566512,True,3.4147251566586405,True,3.598373997610853,False,5.6912085944310675,True,0.7196747995221706,True,1.1382417188862135,True,0.5141148164935316,True,0.5141148164935316,True
