file,object,token,n_rows,columns,interp_ctx,publishes_denominator,publishes_resolution
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.gates.csv,S_BAND,band,27,null_lo/null_hi,True,True,False
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.walkforward.csv,S_BAND,band,27,null_lo/null_hi,True,True,False
2026-09-05_back-fill-the-swapped-coefficient-audit_B.astsweep.csv,S_PHI_OTHER,phi,62,phi,False,False,False
2026-09-05_back-fill-the-swapped-coefficient-audit_B.surface.csv,S_PHI_OTHER,phi,25,phi,False,False,False
2026-09-05_cagr-floor-calibration_B.calibration.csv,S_PHI_OTHER,phi,6426,phi,False,False,False
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.bargrid.csv,S_PHI_OTHER,phi,420,phi,False,False,False
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C.choices.csv,S_BAND_OTHER,band,300,iv_lo/iv_hi,False,True,True
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C.grid.csv,S_BAND_OTHER,band,1200,iv_lo/iv_hi,False,True,True
2026-09-05_gross-as-the-missing-third-bar_B.calibration.csv,S_PHI_OTHER,phi,70,phi,False,False,False
2026-09-05_gross-as-the-missing-third-bar_B.ladder_calibration.csv,S_PHI_OTHER,phi,70,phi,False,False,False
2026-09-05_gross-interval-as-a-keep-bar_B.grid.csv,S_PHI_OTHER,phi,42,phi,False,False,False
2026-09-05_gross-interval-as-a-keep-bar_B.grid.csv,S_BAND_OTHER,band,42,cens_lo/cens_hi,False,True,False
2026-09-05_gross-interval-as-a-keep-bar_B.intervals.csv,S_BAND_OTHER,band,306,m_lo/m_hi|g_lo/g_hi|cens_lo/cens_hi,False,True,False
2026-09-05_gross-interval-as-a-keep-bar_B.intervals4a.csv,S_BAND_OTHER,band,306,g_lo/g_hi|cens_lo/cens_hi,False,True,False
2026-09-05_gross-interval-as-a-keep-bar_B.joint.csv,S_BAND_OTHER,band,51,joint_lo/joint_hi,False,True,False
2026-09-05_gross-interval-as-a-keep-bar_B.walkforward.csv,S_BAND_OTHER,band,306,m_lo/m_hi|g_lo/g_hi|cens_lo/cens_hi,False,True,False
2026-09-05_gross-interval-as-a-pre-registered-KEEP-bar_B.intervals.csv,S_BAND_OTHER,band,1836,m_lo/m_hi|run_lo/run_hi,False,True,False
2026-09-05_gross-interval-as-a-pre-registered-KEEP-bar_B.is_oos.csv,S_BAND_OTHER,band,306,is_lo/is_hi,False,True,False
2026-09-05_is-075-the-argmax-on-every-corpus_cloud.argmax.csv,S_BAND_OTHER,band,51,oos_pass_lo/oos_pass_hi,False,True,False
2026-09-05_is-4b-internally-consistent-at-any-vol_cloud.walkforward.csv,S_BAND_OTHER,band,72,is_g_lo/is_g_hi,False,True,False
2026-09-05_is-the-ladder-even-a-candidate_C.grid.csv,S_PHI_OTHER,phi,42,phi,False,False,False
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud.admissible_m.csv,S_BAND_OTHER,band,3978,m_lo/m_hi,False,True,False
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud.bargrid.csv,S_PHI_OTHER,phi,546,phi,False,False,False
2026-09-05_price-the-broad-POS-near-miss_cloud.intervals.csv,S_BAND_OTHER,band,18,m_lo/m_hi,False,True,False
2026-09-05_relative-priceability-floor_C.floors.csv,S_PHI_OTHER,phi,60,phi,False,False,False
2026-09-05_shallow-window-prices-are-not-prices_C.deciles.csv,S_BAND_OTHER,band,10,depth_lo/depth_hi,False,True,False
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.frontier.csv,S_PHI_OTHER,phi,20,phi_max_CD|phi_max_4B,False,False,False
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.region.csv,S_PHI_OTHER,phi,320,phi,False,False,False
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.walkforward.csv,S_PHI_OTHER,phi,320,phi,False,False,False
2026-09-05_the-sign-is-the-parameter-not-the-share_B.band.csv,S_BAND_OTHER,band,108,lo/hi|open_lo/open_hi,False,True,False
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.bandsummary.csv,S_BAND_OTHER,band,5,ind_lo/ind_hi|weak_lo/weak_hi|strict_lo/strict_hi,False,True,False
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.isbands.csv,S_BAND_OTHER,band,4,is_ind_lo/is_ind_hi|is_weak_lo/is_weak_hi|full_ind_lo/full_ind_hi,False,True,False
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.pairmap.csv,S_PHI_OTHER,phi,108,phi,False,False,False
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.separability.csv,S_PHI_OTHER,phi,21,phi_ind_lo|phi_ind_hi|phi_ind_open|phi_ind_width|phi_weak_lo|phi_weak_hi|phi,False,False,False
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.separability.csv,S_BAND_OTHER,band,21,phi_ind_lo/phi_ind_hi|phi_weak_lo/phi_weak_hi|delta_ind_lo/delta_ind_hi|delta_weak_lo/delta_weak_hi,False,True,False
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud.intervals.csv,S_BAND_OTHER,band,48,b_lo/b_hi|b_cens_lo/b_cens_hi|a_lo/a_hi|a_cens_lo/a_cens_hi,False,True,False
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud.verdict.csv,S_BAND_OTHER,band,72,iv_lo/iv_hi,False,True,False
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud.walkforward.csv,S_BAND_OTHER,band,36,is_lo/is_hi,False,True,False
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.curve.csv,S_BAND_OTHER,band,9,lo/hi,False,True,True
2026-09-06_is-RULES-v2-only-a-de-grossing-effect_C_nullbands.csv,S_BAND,band,32,q05/q95|lo/hi,True,True,True
2026-09-06_trend-filter-by-market-cap_B.grossband.csv,S_BAND_OTHER,band,30,g_lo/g_hi,False,True,False
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C.window.csv,S_BAND_OTHER,band,144,g_lo/g_hi,False,True,False
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.band.csv,S_BAND_OTHER,band,45,g_lo/g_hi,False,True,False
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.ray.csv,S_BAND_OTHER,band,45,calmar_lo/calmar_hi,False,True,False
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud.corr.csv,S_BAND_OTHER,band,8,ci_lo/ci_hi,False,True,False
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud.depth.csv,S_BAND_OTHER,band,8,ci_lo/ci_hi,False,True,False
2026-09-07_does-the-NUMERAIRE-clause-screen-the-queues-open-overlay-ideas_C.census.csv,S_BAND_OTHER,band,2630,bar_lo/bar_hi|kill_lo/kill_hi,False,True,False
2026-09-07_is-the-priceability-floor-the-real-selector_B.census.csv,S_PHI_OTHER,phi,70,phi,False,False,False
2026-09-07_is-the-priceability-floor-the-real-selector_B.keeppaths.csv,S_PHI_OTHER,phi,5,phi,False,False,False
2026-09-07_is-the-priceability-floor-the-real-selector_B.moves.csv,S_BAND_OTHER,band,116,rank_lo/rank_hi,False,True,False
2026-09-07_is-the-priceability-floor-the-real-selector_B.nstar.csv,S_PHI_OTHER,phi,5,phi,False,False,False
2026-09-07_is-the-priceability-floor-the-real-selector_B.rankings.csv,S_PHI_OTHER,phi,60,phi,False,False,False
2026-09-07_is-the-priceability-floor-the-real-selector_B.selector_summary.csv,S_PHI_OTHER,phi,5,phi,False,False,False
2026-09-07_is-the-priceability-floor-the-real-selector_B.walkforward.csv,S_PHI_OTHER,phi,140,phi,False,False,False
