panel,anchor,ladder,chooser,1,2,5,10,21,42,63,126,252,504,1008,L_DEP
B136,A,CADENCE,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,False,False
B136,A,CADENCE,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
B136,A,CADENCE,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
B136,A,GROSS,CH_ISCAGR,True,True,True,True,True,True,True,True,True,True,True,False
B136,A,GROSS,CH_ISDD,True,True,True,True,True,True,True,True,True,True,True,False
B136,A,GROSS,CH_ISSHARPE,False,False,False,False,False,True,True,True,True,True,True,True
B136,A,H,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,False,False
B136,A,H,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
B136,A,H,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
B136,A,N,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,True,True
B136,A,N,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
B136,A,N,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
B136,B,CADENCE,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,False,False
B136,B,CADENCE,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
B136,B,CADENCE,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
B136,B,GROSS,CH_ISCAGR,True,True,True,True,True,True,True,True,True,True,True,False
B136,B,GROSS,CH_ISDD,True,True,True,True,True,True,True,True,True,True,True,False
B136,B,GROSS,CH_ISSHARPE,False,True,True,True,True,True,True,True,True,True,True,True
B136,B,H,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,True,True
B136,B,H,CH_ISDD,False,False,False,False,False,False,False,False,False,False,True,True
B136,B,H,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
B136,B,N,CH_ISCAGR,False,False,False,False,True,True,True,True,True,True,True,True
B136,B,N,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
B136,B,N,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,CADENCE,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,CADENCE,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,CADENCE,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,GROSS,CH_ISCAGR,False,False,False,False,False,False,False,False,True,True,True,True
SMALL,A,GROSS,CH_ISDD,True,True,True,True,True,True,True,True,True,True,True,False
SMALL,A,GROSS,CH_ISSHARPE,False,False,False,False,False,False,False,False,True,True,True,True
SMALL,A,H,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,H,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,H,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,N,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,N,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,A,N,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,True,True,True
SMALL,B,CADENCE,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,True,True
SMALL,B,CADENCE,CH_ISDD,False,False,False,False,False,False,False,False,False,False,True,True
SMALL,B,CADENCE,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,B,GROSS,CH_ISCAGR,True,True,True,True,True,True,True,True,True,True,True,False
SMALL,B,GROSS,CH_ISDD,True,True,True,True,True,True,True,True,True,True,True,False
SMALL,B,GROSS,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,B,H,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,True,True
SMALL,B,H,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,B,H,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,True,True
SMALL,B,N,CH_ISCAGR,False,False,False,False,False,False,False,False,False,False,True,True
SMALL,B,N,CH_ISDD,False,False,False,False,False,False,False,False,False,False,False,False
SMALL,B,N,CH_ISSHARPE,False,False,False,False,False,False,False,False,False,False,False,False
