L,resolved,rate,mean_P_pick,reach
1,11,0.1527777777777778,0.5604027777777777,14
2,12,0.16666666666666666,0.563625,14
5,12,0.16666666666666666,0.5632777777777778,14
10,13,0.18055555555555555,0.5672083333333333,14
21,14,0.19444444444444445,0.5781388888888889,14
42,16,0.2222222222222222,0.5948888888888889,14
63,16,0.2222222222222222,0.6070138888888889,14
126,17,0.2361111111111111,0.6275694444444445,14
252,20,0.2777777777777778,0.6589583333333333,14
504,23,0.3194444444444444,0.6903611111111112,14
1008,34,0.4722222222222222,0.7054444444444444,14
T,72,1.0,1.0,14
