src,n_chars,C_STRICT,C_PROX,C_ALL,N_MULT,MAX_MULT,MIN_MULT,STATES_K,N_DISTINCT_K,K_MIN,K_MAX,VARYING_K,IS_BAND,BAND_LO,BAND_HI,ADJUDICATED
LEADERBOARD,1256,False,False,False,0,,,True,2,0,12,True,False,,,True
LEADERBOARD,1122,False,False,False,1,2.2,2.2,True,4,0,48,True,False,,,True
LEADERBOARD,848,False,False,False,0,,,True,1,6,6,False,False,,,False
LEADERBOARD,765,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,892,False,False,False,0,,,True,3,2,4,True,False,,,True
LEADERBOARD,1039,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,1158,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,978,False,False,False,0,,,True,4,4,2880,True,False,,,True
LEADERBOARD,801,False,False,False,0,,,True,1,6,6,False,False,,,False
LEADERBOARD,556,False,False,False,2,3.5,1.51,False,0,0,0,False,False,,,False
LEADERBOARD,825,False,False,True,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,809,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,846,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,653,False,False,False,0,,,True,1,108,108,False,False,,,False
LEADERBOARD,813,False,False,False,0,,,True,4,2,534,True,False,,,True
LEADERBOARD,464,False,False,True,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,684,False,False,True,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,719,False,False,False,0,,,True,1,47,47,False,False,,,True
LEADERBOARD,529,False,False,True,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,757,False,False,True,0,,,True,2,4,12,True,False,,,False
LEADERBOARD,1183,False,False,True,0,,,True,6,2,48840,True,False,,,True
LEADERBOARD,1169,False,False,False,0,,,True,3,10,118,True,False,,,True
LEADERBOARD,907,False,False,True,0,,,True,1,110,110,False,False,,,False
LEADERBOARD,1174,False,False,True,0,,,True,4,2,2310,True,False,,,True
LEADERBOARD,1202,False,False,True,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,869,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,1191,False,False,True,0,,,True,1,20,20,False,False,,,False
LEADERBOARD,982,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,1009,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,1374,False,False,False,0,,,True,1,18,18,False,False,,,True
LEADERBOARD,1250,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,847,False,False,False,0,,,True,2,3,1944,True,False,,,False
LEADERBOARD,848,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,1006,False,False,True,0,,,True,2,3,378,True,False,,,True
LEADERBOARD,905,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,900,False,False,False,0,,,True,2,4,12,True,False,,,True
LEADERBOARD,948,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,613,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,626,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,745,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,749,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,838,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,747,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,739,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,779,False,False,False,0,,,True,1,8,8,False,False,,,False
LEADERBOARD,968,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,771,False,False,False,0,,,True,2,17,56,True,False,,,True
LEADERBOARD,990,False,False,True,0,,,True,4,5,17,True,False,,,True
LEADERBOARD,1208,False,False,True,0,,,True,3,10,510,True,False,,,True
LEADERBOARD,1098,False,False,True,0,,,True,1,0,0,False,False,,,True
LEADERBOARD,1191,False,False,True,0,,,True,2,5,10,True,False,,,True
LEADERBOARD,1074,False,False,True,0,,,True,3,0,17,True,False,,,True
LEADERBOARD,836,False,False,False,0,,,True,2,48,816,True,False,,,True
LEADERBOARD,948,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,827,False,False,False,0,,,True,2,30,48,True,False,,,True
LEADERBOARD,1255,False,False,False,0,,,True,5,2,264,True,False,,,True
LEADERBOARD,683,False,False,True,0,,,True,1,264,264,False,False,,,True
LEADERBOARD,720,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,933,False,False,False,0,,,True,3,2,100,True,False,,,True
LEADERBOARD,772,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,981,False,False,False,0,,,True,2,1,3,True,False,,,True
LEADERBOARD,688,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,598,False,False,False,0,,,True,1,9,9,False,False,,,True
LEADERBOARD,905,True,True,True,1,1.0,1.0,True,2,3,594,True,False,,,True
LEADERBOARD,908,False,False,False,0,,,True,1,9,9,False,False,,,True
LEADERBOARD,724,True,True,True,2,27.0,13.8,False,0,0,0,False,False,,,True
LEADERBOARD,678,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,989,False,False,False,0,,,True,3,0,594,True,False,,,True
LEADERBOARD,678,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,808,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,1309,False,False,False,0,,,True,4,3,2916,True,False,,,True
LEADERBOARD,610,False,False,False,0,,,True,1,2916,2916,False,False,,,True
LEADERBOARD,975,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,1221,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,611,False,False,False,0,,,True,1,126,126,False,False,,,False
LEADERBOARD,1106,True,True,True,1,2.0,2.0,True,2,3,126,True,False,,,True
LEADERBOARD,818,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,1029,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,877,False,False,True,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,1169,False,False,True,0,,,True,4,3,126,True,False,,,True
LEADERBOARD,1256,False,False,True,0,,,True,4,2,126,True,False,,,True
LEADERBOARD,1029,False,False,False,3,4.69,1.54,False,0,0,0,False,False,,,False
LEADERBOARD,1137,False,False,True,0,,,True,2,6,60,True,False,,,True
LEADERBOARD,1022,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,1208,False,False,False,0,,,True,1,6,6,False,False,,,False
LEADERBOARD,1013,False,False,False,0,,,True,2,6,60,True,False,,,True
LEADERBOARD,1096,False,False,True,0,,,True,3,17,170,True,False,,,True
LEADERBOARD,752,False,False,False,0,,,True,3,3,44,True,False,,,False
LEADERBOARD,695,False,False,False,0,,,True,1,44,44,False,False,,,True
LEADERBOARD,784,False,False,False,0,,,True,2,0,20,True,False,,,True
LEADERBOARD,638,False,False,False,0,,,False,0,0,0,False,False,,,True
LEADERBOARD,923,False,False,False,0,,,True,2,3,36,True,False,,,True
LEADERBOARD,896,False,False,True,0,,,True,1,36,36,False,False,,,False
LEADERBOARD,848,False,False,False,0,,,True,1,2,2,False,False,,,True
LEADERBOARD,960,False,False,False,1,192.0,192.0,True,2,6,25,True,False,,,True
LEADERBOARD,738,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,944,False,False,False,0,,,False,0,0,0,False,False,,,False
LEADERBOARD,1171,False,False,True,0,,,True,3,3,252,True,False,,,False
