panel,window,ref,rung,keying,L,f,c,share
U56,W252,ABS63,1,ABS,1,0.0039682539682539,2,0.08333333333333333
U56,W252,ABS63,10,ABS,10,0.0396825396825396,0,0.0
U56,W252,ABS63,1008,ABS,252,1.0,19,0.7916666666666666
U56,W252,ABS63,126,ABS,126,0.5,5,0.20833333333333334
U56,W252,ABS63,2,ABS,2,0.0079365079365079,2,0.08333333333333333
U56,W252,ABS63,21,ABS,21,0.0833333333333333,0,0.0
U56,W252,ABS63,252,ABS,252,1.0,19,0.7916666666666666
U56,W252,ABS63,42,ABS,42,0.1666666666666666,0,0.0
U56,W252,ABS63,5,ABS,5,0.0198412698412698,2,0.08333333333333333
U56,W252,ABS63,504,ABS,252,1.0,19,0.7916666666666666
U56,W252,ABS63,T,ABS,252,1.0,19,0.7916666666666666
U56,W252,ABS63,f0.0006,FRAC,1,0.0039682539682539,2,0.08333333333333333
U56,W252,ABS63,f0.002,FRAC,1,0.0039682539682539,2,0.08333333333333333
U56,W252,ABS63,f0.005,FRAC,1,0.0039682539682539,2,0.08333333333333333
U56,W252,ABS63,f0.01,FRAC,3,0.0119047619047619,2,0.08333333333333333
U56,W252,ABS63,f0.02,FRAC,5,0.0198412698412698,2,0.08333333333333333
U56,W252,ABS63,f0.04,FRAC,10,0.0396825396825396,0,0.0
U56,W252,ABS63,f0.08,FRAC,20,0.0793650793650793,0,0.0
U56,W252,ABS63,f0.15,FRAC,38,0.1507936507936507,0,0.0
U56,W252,ABS63,f0.3,FRAC,76,0.3015873015873015,0,0.0
U56,W252,ABS63,f0.6,FRAC,151,0.5992063492063492,5,0.20833333333333334
U56,W252,ABS63,f1,FRAC,252,1.0,19,0.7916666666666666
U56,W252,FRACf0.04,1,ABS,1,0.0039682539682539,2,0.08333333333333333
U56,W252,FRACf0.04,10,ABS,10,0.0396825396825396,0,0.0
U56,W252,FRACf0.04,1008,ABS,252,1.0,19,0.7916666666666666
U56,W252,FRACf0.04,126,ABS,126,0.5,5,0.20833333333333334
U56,W252,FRACf0.04,2,ABS,2,0.0079365079365079,2,0.08333333333333333
U56,W252,FRACf0.04,21,ABS,21,0.0833333333333333,0,0.0
U56,W252,FRACf0.04,252,ABS,252,1.0,19,0.7916666666666666
U56,W252,FRACf0.04,42,ABS,42,0.1666666666666666,0,0.0
U56,W252,FRACf0.04,5,ABS,5,0.0198412698412698,2,0.08333333333333333
U56,W252,FRACf0.04,504,ABS,252,1.0,19,0.7916666666666666
U56,W252,FRACf0.04,63,ABS,63,0.25,0,0.0
U56,W252,FRACf0.04,T,ABS,252,1.0,19,0.7916666666666666
U56,W252,FRACf0.04,f0.0006,FRAC,1,0.0039682539682539,2,0.08333333333333333
U56,W252,FRACf0.04,f0.002,FRAC,1,0.0039682539682539,2,0.08333333333333333
U56,W252,FRACf0.04,f0.005,FRAC,1,0.0039682539682539,2,0.08333333333333333
U56,W252,FRACf0.04,f0.01,FRAC,3,0.0119047619047619,2,0.08333333333333333
U56,W252,FRACf0.04,f0.02,FRAC,5,0.0198412698412698,2,0.08333333333333333
U56,W252,FRACf0.04,f0.08,FRAC,20,0.0793650793650793,0,0.0
U56,W252,FRACf0.04,f0.15,FRAC,38,0.1507936507936507,0,0.0
U56,W252,FRACf0.04,f0.3,FRAC,76,0.3015873015873015,0,0.0
