shared,restated,share,tickers_touched,n_cols,rows_added,rows_removed,max_rel,med_rel,first_restated,panel,frm,to,frm_date,to_date,append_only
328089,30752,0.09373066454529107,56,56,1,0,0.0771273456862976,9.99686099558332e-07,2008-01-02,U56,fb208174,0ede2282,2026-09-03,2026-09-03,False
253103,23147,0.09145288676941798,46,56,0,1362,0.0003710575139148219,1.0876504900770346e-06,2008-01-02,U56,0ede2282,c006b439,2026-09-03,2026-09-04,False
253103,23434,0.09258681248345535,46,56,1,0,0.00021258503401358204,1.0803394427089193e-06,2008-01-02,U56,c006b439,50585c86,2026-09-04,2026-09-04,False
253159,27777,0.10972155838820662,46,56,0,0,0.0006538651436501857,1.28190008362244e-06,2008-01-02,U56,50585c86,f138ee9a,2026-09-04,2026-09-07,False
253159,23055,0.0910692489700149,46,56,1,0,5.09424350483897e-05,1.0904899462641412e-06,2008-01-02,U56,f138ee9a,9ee888f4,2026-09-07,2026-09-08,False
253215,23248,0.09181130659716051,46,56,1,0,0.00037119524870098185,1.0801667392625607e-06,2008-01-02,U56,9ee888f4,7a93b075,2026-09-08,2026-09-09,False
253271,23063,0.09106056358604026,47,56,1,0,0.0003710575139148219,1.091022954068148e-06,2008-01-02,U56,7a93b075,60e8c36a,2026-09-09,2026-09-10,False
253327,27824,0.10983432480548856,46,56,1,0,0.0015822784810126304,1.26931098030852e-06,2008-01-02,U56,60e8c36a,56e08b10,2026-09-10,2026-09-11,False
253383,22944,0.09055066835580919,46,56,1,0,6.346385733338264e-05,1.0899645885836574e-06,2008-01-02,U56,56e08b10,b2528b96,2026-09-11,2026-09-14,False
253439,26805,0.10576509534838759,46,56,1,0,0.006125106598750832,1.3129079860137068e-06,2008-01-02,U56,b2528b96,868b5c36,2026-09-14,2026-09-15,False
253495,31503,0.12427464052545414,46,56,1,0,0.008383571966842624,1.5047618186116287e-06,2008-01-02,U56,868b5c36,6f1fcb13,2026-09-15,2026-09-16,False
614899,616,0.0010017905379582663,103,136,0,0,0.004424778761061853,8.351591716499951e-05,2008-01-04,B136,0ede2282,d434ebc4,2026-09-03,2026-09-04,False
614899,612,0.000995285404594901,103,136,1,0,0.00444444444444435,8.600469729504501e-05,2008-01-07,B136,d434ebc4,50585c86,2026-09-04,2026-09-04,False
615034,26040,0.04233912271516697,107,136,4,0,0.07142857142857148,0.005110353386578486,2008-01-02,B136,50585c86,56e08b10,2026-09-04,2026-09-11,False
