uid,src,WALK,n_counts,stated_N,VERDICT,axes,n_axes,names_GROSS,CS_ALL,CS_PROX,CS_STRICT
262e57af2a,LEADERBOARD,False,0,,True,,0,False,False,False,False
3bdef279df,LEADERBOARD,True,1,447.0,True,,0,False,True,True,True
fe6d38885b,LEADERBOARD,True,1,21.0,True,CADENCE|GROSS|H|N,4,True,True,True,True
350ab2bcf0,LEADERBOARD,True,1,120.0,True,,0,False,True,True,True
e73d016ab8,LEADERBOARD,False,0,,True,,0,False,False,False,False
5765985342,LEADERBOARD,True,2,66.0,True,CADENCE|GROSS|H|N,4,True,True,True,True
55c782f9b2,LEADERBOARD,False,0,,False,,0,False,False,False,False
0d1d129874,LEADERBOARD,False,0,,False,,0,False,False,False,False
0d4aa2d292,LEADERBOARD,False,0,,True,,0,False,False,False,False
d7e40311eb,LEADERBOARD,True,0,,False,,0,False,True,False,False
5da8d767da,LEADERBOARD,True,2,216.0,True,H|N,2,False,True,True,True
9538b63895,LEADERBOARD,True,1,20.0,True,,0,False,True,True,True
4ae82f1456,LEADERBOARD,True,1,9.0,False,,0,False,True,True,False
87f1d08a5d,LEADERBOARD,False,0,,False,,0,False,False,False,False
9c5277bc6b,LEADERBOARD,True,3,16.0,False,,0,False,True,True,False
3aa27813da,LEADERBOARD,False,0,,False,,0,False,False,False,False
fd82dec036,LEADERBOARD,True,0,,True,,0,False,True,False,False
02c533627a,LEADERBOARD,True,1,9.0,True,,0,False,True,True,True
95fe1b5c1f,LEADERBOARD,True,2,10.0,True,,0,False,True,True,True
91d6f6def6,LEADERBOARD,True,0,,True,,0,False,True,False,False
8e6aebe75c,LEADERBOARD,True,3,66.0,True,GROSS,1,True,True,True,True
10b2802c50,LEADERBOARD,False,1,9.0,True,,0,False,False,False,False
8688aade38,LEADERBOARD,True,1,4.0,False,,0,False,True,True,False
0c7880db73,LEADERBOARD,True,1,4.0,True,,0,False,True,True,True
fdb98b78f5,LEADERBOARD,True,1,144.0,True,,0,False,True,True,True
6dee25ad9f,LEADERBOARD,False,0,,True,,0,False,False,False,False
2fb8796a08,LEADERBOARD,True,1,48.0,True,,0,False,True,True,True
4a0169f00c,LEADERBOARD,True,1,6.0,True,,0,False,True,True,True
d6b8a526cf,LEADERBOARD,False,0,,False,,0,False,False,False,False
d0d070aaab,LEADERBOARD,True,2,4.0,True,CADENCE,1,False,True,True,True
0f5f7db9e6,LEADERBOARD,False,1,4.0,True,,0,False,False,False,False
ed441995a5,LEADERBOARD,False,0,,True,,0,False,False,False,False
daaa7d3c1a,LEADERBOARD,True,3,880.0,True,,0,False,True,True,True
539741ab62,LEADERBOARD,False,1,6.0,False,,0,False,False,False,False
d1cc8ee45f,LEADERBOARD,False,0,,False,,0,False,False,False,False
b000cf3bb1,LEADERBOARD,True,0,,True,,0,False,True,False,False
ac1ecc450c,LEADERBOARD,True,0,,True,,0,False,True,False,False
