rule,family,basis,k,d_mean_OOS_Sharpe,clustered_SE,t,n_clusters,n_cells_better,n_cells_worse
R_RAW,R_RAW,,,0.009477294681704383,0.019819194608952338,0.4781876796054813,6,29,30
R_BAR,R_BAR,,,-0.0014085410882924614,0.0009489250836132992,-1.484354363285503,6,5,8
R_ANCHOR,R_ANCHOR,,,0.0,0.0,0.0,6,0,0
"R_SE[SE_BLOCK,k=0.0]",R_SE,SE_BLOCK,0.0,0.009477294681704383,0.019819194608952338,0.4781876796054813,6,29,30
"R_SE[SE_BLOCK,k=0.25]",R_SE,SE_BLOCK,0.25,-0.0006095803737940775,0.014661106878490912,-0.04157805947710426,6,20,27
"R_SE[SE_BLOCK,k=0.5]",R_SE,SE_BLOCK,0.5,-0.007225492815047809,0.010682597960646176,-0.6763797384930087,6,16,25
"R_SE[SE_BLOCK,k=1.0]",R_SE,SE_BLOCK,1.0,-0.0030787526248924305,0.01031489738284368,-0.2984763212490301,6,12,16
"R_SE[SE_BLOCK,k=1.5]",R_SE,SE_BLOCK,1.5,0.004072292461421775,0.0067788453320621915,0.600735414652534,6,9,10
"R_SE[SE_BLOCK,k=2.0]",R_SE,SE_BLOCK,2.0,-0.00016337892351987507,7.920759155115603e-05,-2.062667483259571,6,3,6
"R_SE[SE_IID,k=0.0]",R_SE,SE_IID,0.0,0.009477294681704383,0.019819194608952338,0.4781876796054813,6,29,30
"R_SE[SE_IID,k=0.25]",R_SE,SE_IID,0.25,-0.0006095803737940775,0.014661106878490912,-0.04157805947710426,6,20,27
"R_SE[SE_IID,k=0.5]",R_SE,SE_IID,0.5,-0.008136852087273315,0.00986464253847394,-0.8248501712594327,6,15,23
"R_SE[SE_IID,k=1.0]",R_SE,SE_IID,1.0,-0.0009340341732347956,0.010701002904717389,-0.08728473223972676,6,10,13
"R_SE[SE_IID,k=1.5]",R_SE,SE_IID,1.5,0.001012686087454961,0.006212217833539962,0.16301522493101203,6,4,10
"R_SE[SE_IID,k=2.0]",R_SE,SE_IID,2.0,-0.0007231066604150517,0.0005074641653398475,-1.4249413255235253,6,2,7
"R_SE[SE_FOLD,k=0.0]",R_SE,SE_FOLD,0.0,0.009477294681704383,0.019819194608952338,0.4781876796054813,6,29,30
"R_SE[SE_FOLD,k=0.25]",R_SE,SE_FOLD,0.25,0.006998004287631757,0.016941192769338694,0.41307624456627484,6,25,28
"R_SE[SE_FOLD,k=0.5]",R_SE,SE_FOLD,0.5,0.0015059212815606478,0.01450968357278757,0.10378732754620185,6,19,25
"R_SE[SE_FOLD,k=1.0]",R_SE,SE_FOLD,1.0,-0.0011341440604606633,0.01366869796037971,-0.08297381826331302,6,16,21
"R_SE[SE_FOLD,k=1.5]",R_SE,SE_FOLD,1.5,-0.0005872562789026761,0.00931974198181438,-0.06301207480299238,6,10,17
"R_SE[SE_FOLD,k=2.0]",R_SE,SE_FOLD,2.0,-0.009782939588658739,0.006797255525621686,-1.4392484660585094,6,7,17
