panel,control,observed,N_IID,N_BLOCK,phi_L63,episode_bars,prior_observed,prior_N_IID,prior_N_BLOCK,prior_phi,prior_episode
U56,C_BOOK,19.12756183046503,22.57227715331392,19.88027410594916,0.7814878139591485,18,19.12756183046503,22.57227715331392,19.88027410594916,0.7814878139591485,18.0
U56,C_GATEOFF,20.10683222103151,22.425716188052668,20.120840511046964,0.9939590379619343,58,20.10683222103151,22.425716188052668,20.120840511046964,0.9939590379619344,58.0
U56,C_NOREBAL,71.9447238308778,57.11474092335621,62.24618562700041,0.3460182480076622,120,71.9447238308778,57.11474092335621,62.24618562700041,0.3460182480076622,120.0
U56,C_SHUFFLE,23.161189826322556,22.386346796948427,22.648101674471057,0.33781665137267886,148,23.16118982632256,22.386346796948427,22.648101674471057,0.3378166513726788,148.0
U56,C_SPY,26.19715110967317,24.789504129595343,26.19715110967319,1.0000000000000127,23,26.19715110967317,24.789504129595343,26.19715110967319,1.0000000000000129,23.0
B136,C_BOOK,20.74030226784948,25.764996968256888,22.450921671634365,0.6595575441337388,23,20.74030226784948,25.764996968256888,22.450921671634365,0.6595575441337388,23.0
B136,C_GATEOFF,22.30648993613683,26.587629887621627,23.78096524668782,0.6555881547297682,23,22.30648993613683,26.587629887621627,23.78096524668782,0.6555881547297682,23.0
B136,C_NOREBAL,60.003504311453824,45.33161932550584,49.35934275589864,0.2745198339715963,143,60.003504311453824,45.33161932550584,49.35934275589864,0.2745198339715963,143.0
B136,C_SHUFFLE,25.71741913062771,25.97698632435433,25.257243187085088,2.7728586457165756,155,25.71741913062771,25.97698632435433,25.257243187085088,2.772858645716576,155.0
B136,C_SPY,26.196107494224975,25.017201588383195,26.196107494224975,1.0,23,26.19610749422497,25.017201588383195,26.19610749422497,1.0,23.0
SMALL,C_BOOK,35.81405418032813,40.24632361293324,37.82955832429007,0.5452658791148199,39,35.81405418032813,40.24632361293324,37.82955832429007,0.5452658791148199,39.0
SMALL,C_GATEOFF,33.14305676645737,41.64327182444992,38.46081033454799,0.374397761490697,23,33.14305676645737,41.64327182444992,38.46081033454799,0.374397761490697,23.0
SMALL,C_NOREBAL,38.93723162501094,50.63061514047038,49.34058464781984,0.11032140448870394,1439,38.93723162501094,50.63061514047038,49.34058464781984,0.1103214044887039,1439.0
SMALL,C_SHUFFLE,46.78093364985628,40.10378255371128,40.704724737621234,0.08999978812174944,1006,46.78093364985628,40.10378255371128,40.704724737621234,0.0899997881217494,1006.0
SMALL,C_SPY,26.1971511096732,24.18432197602172,26.19715110967317,0.9999999999999859,23,26.1971511096732,24.18432197602172,26.19715110967317,0.999999999999986,23.0
