panel,signal,look,peak,trough,dd,n_decisions,corr_u_mean,vol_u_mean,corr_u_pre,vol_u_pre,corr_first_half,vol_first_half,rank_corr_u
U56,COMPOSITE3,20,2020-02-19,2020-03-16,-0.19127563591226437,4,0.12914891992672556,0.7393771323294955,0.0,0.0,None,2020-03-02,0.4999775326519648
U56,COMPOSITE3,60,2020-02-19,2020-03-16,-0.19127563591226437,4,0.0,0.4727965502469639,0.0,0.0,None,2020-03-09,0.36487796081201185
U56,COMPOSITE3,126,2020-02-19,2020-03-16,-0.19127563591226437,4,0.0,0.24469703087566286,0.0,0.0,None,2020-03-16,0.1468677152823008
U56,COMPOSITE3,252,2020-02-19,2020-03-16,-0.19127563591226437,4,0.0,0.1643835616438356,0.0,0.0,None,2020-03-16,0.25255458848621853
U56,M12_1,20,2018-10-01,2018-12-24,-0.2058127984025826,13,0.5137147045405258,0.7487128954983321,0.013667992047713712,0.0,2018-10-15,2018-10-15,0.5208134520294191
U56,M12_1,60,2018-10-01,2018-12-24,-0.2058127984025826,13,0.42322780107959296,0.6023383169328688,0.046363573376798334,0.0,2018-10-29,2018-10-29,0.4323325630183384
U56,M12_1,126,2018-10-01,2018-12-24,-0.2058127984025826,13,0.24330131966423274,0.38651884868830166,0.5176326922387429,0.3989864764269324,2018-12-10,2018-11-26,0.33522467711821513
U56,M12_1,252,2018-10-01,2018-12-24,-0.2058127984025826,13,0.5864973096869244,0.5490179566096777,0.5717735214674972,0.26224934275434775,2018-10-29,2018-10-29,0.2265302638520742
B135,COMPOSITE3,20,2020-02-19,2020-03-23,-0.20740302267849475,5,0.2804406641792364,0.7314456770558196,0.0,0.0,2020-03-09,2020-03-02,0.5738249211803929
B135,COMPOSITE3,60,2020-02-19,2020-03-23,-0.20740302267849475,5,0.1691405398077252,0.5248796147672552,0.0,0.0,2020-03-09,2020-03-09,0.45949109853659553
B135,COMPOSITE3,126,2020-02-19,2020-03-23,-0.20740302267849475,5,0.07169811320754715,0.38461114636378946,0.0,0.0,None,2020-03-16,0.39512806784671245
B135,COMPOSITE3,252,2020-02-19,2020-03-23,-0.20740302267849475,5,0.0017152658662092702,0.2945779182765484,0.0,0.0,None,2020-03-16,0.2713797924810737
B135,M12_1,20,2020-02-19,2020-03-23,-0.2173168421327082,5,0.33815847641951513,0.7260715314523463,0.0,0.0,2020-03-02,2020-03-02,0.6247121618495918
B135,M12_1,60,2020-02-19,2020-03-23,-0.2173168421327082,5,0.27289938875233566,0.5293874027029126,0.0,0.0,2020-03-02,2020-03-09,0.6018358283419782
B135,M12_1,126,2020-02-19,2020-03-23,-0.2173168421327082,5,0.18154232462732756,0.3958296890757832,0.12774039798011658,0.0,2020-03-09,2020-03-16,0.46356558137079734
B135,M12_1,252,2020-02-19,2020-03-23,-0.2173168421327082,5,0.19044284510147183,0.264458494321508,0.0,0.0,2020-03-09,2020-03-16,0.4855921068992455
SMALL663,COMPOSITE3,20,2020-01-22,2020-03-18,-0.3581405418032818,8,0.4195164520310852,0.2940892493388868,0.0,0.0,2020-03-02,2020-03-02,0.661867363082264
SMALL663,COMPOSITE3,60,2020-01-22,2020-03-18,-0.3581405418032818,8,0.207448488197679,0.14577149403738998,0.0,0.0,2020-03-16,2020-03-16,0.6414717445638435
SMALL663,COMPOSITE3,126,2020-01-22,2020-03-18,-0.3581405418032818,8,0.13755312997921146,0.09436758893280633,0.10447084984283878,0.0,2020-03-16,2020-03-16,0.6274175762211495
SMALL663,COMPOSITE3,252,2020-01-22,2020-03-18,-0.3581405418032818,8,0.3304096312300383,0.060416666666666674,0.45113548979796775,0.0,2020-03-16,None,0.725942879455762
SMALL663,M12_1,20,2020-02-13,2020-03-18,-0.35091724639957433,5,0.4869011852726214,0.4698054964902679,0.0068123091378905366,0.0,2020-03-02,2020-03-02,0.6051825873480469
SMALL663,M12_1,60,2020-02-13,2020-03-18,-0.35091724639957433,5,0.2560983918728872,0.25717707798632655,0.0,0.0,2020-03-16,2020-03-16,0.6193239516447213
SMALL663,M12_1,126,2020-02-13,2020-03-18,-0.35091724639957433,5,0.18079331941544888,0.1533596837944664,0.0,0.0,2020-03-16,2020-03-16,0.6554277792548407
SMALL663,M12_1,252,2020-02-13,2020-03-18,-0.35091724639957433,5,0.15908141962421712,0.11000000000000001,0.0,0.013553607415134906,2020-03-16,2020-03-16,0.693255189714186
