panel,k,mult,pick,pick_incumbent_key,same_pick,n_IS_pass,n_IS_pass_incumbent,d_OOS_Sharpe,d_OOS_CAGR,d_OOS_MaxDD
U56,K21,0.5,N=40,N=40,True,5,0,0.0,0.0,0.0
U56,K21,0.6,N=40,N=40,True,14,6,0.0,0.0,0.0
U56,K21,0.75,N=40,N=40,True,15,14,0.0,0.0,0.0
U56,K21,1.0,N=40,N=40,True,16,15,0.0,0.0,0.0
U56,K63,0.5,G=0.60,N=40,False,1,0,0.06136777920149439,-0.0038798409463460803,0.06942051306836883
U56,K63,0.6,N=40,N=40,True,7,6,0.0,0.0,0.0
U56,K63,0.75,N=40,N=40,True,15,14,0.0,0.0,0.0
U56,K63,1.0,N=40,N=40,True,16,15,0.0,0.0,0.0
U56,K126,0.5,N=40,N=40,True,0,0,0.0,0.0,0.0
U56,K126,0.6,N=40,N=40,True,6,6,0.0,0.0,0.0
U56,K126,0.75,N=40,N=40,True,14,14,0.0,0.0,0.0
U56,K126,1.0,N=40,N=40,True,15,15,0.0,0.0,0.0
U56,K252,0.5,N=40,N=40,True,0,0,0.0,0.0,0.0
U56,K252,0.6,N=40,N=40,True,6,6,0.0,0.0,0.0
U56,K252,0.75,N=40,N=40,True,14,14,0.0,0.0,0.0
U56,K252,1.0,N=40,N=40,True,15,15,0.0,0.0,0.0
U56,KFULL,0.5,N=40,N=40,True,0,0,0.0,0.0,0.0
U56,KFULL,0.6,N=40,N=40,True,6,6,0.0,0.0,0.0
U56,KFULL,0.75,N=40,N=40,True,14,14,0.0,0.0,0.0
U56,KFULL,1.0,N=40,N=40,True,15,15,0.0,0.0,0.0
B136,K21,0.5,H=21,G=0.55,False,5,2,-0.06161443926685628,0.030273970764512104,-0.10858865700980835
B136,K21,0.6,H=63,N=30,False,14,5,-0.06395750571310899,0.00047040132031805904,-0.04340460313462413
B136,K21,0.75,N=10,H=63,False,17,15,-0.07884109062530353,0.0017707847195569393,0.08491530199920083
B136,K21,1.0,N=5,N=10,False,18,17,-0.16884908263722076,-0.020754108384429593,-0.07920592845765329
B136,K63,0.5,G=0.55,G=0.55,True,2,2,0.0,0.0,0.0
B136,K63,0.6,N=30,N=30,True,6,5,0.0,0.0,0.0
B136,K63,0.75,H=63,H=63,True,15,15,0.0,0.0,0.0
B136,K63,1.0,N=10,N=10,True,17,17,0.0,0.0,0.0
B136,K126,0.5,G=0.55,G=0.55,True,2,2,0.0,0.0,0.0
B136,K126,0.6,N=30,N=30,True,5,5,0.0,0.0,0.0
B136,K126,0.75,H=63,H=63,True,15,15,0.0,0.0,0.0
B136,K126,1.0,N=10,N=10,True,17,17,0.0,0.0,0.0
B136,K252,0.5,G=0.55,G=0.55,True,2,2,0.0,0.0,0.0
B136,K252,0.6,N=30,N=30,True,5,5,0.0,0.0,0.0
B136,K252,0.75,H=63,H=63,True,15,15,0.0,0.0,0.0
B136,K252,1.0,N=10,N=10,True,17,17,0.0,0.0,0.0
B136,KFULL,0.5,G=0.55,G=0.55,True,2,2,0.0,0.0,0.0
B136,KFULL,0.6,N=30,N=30,True,5,5,0.0,0.0,0.0
B136,KFULL,0.75,H=63,H=63,True,15,15,0.0,0.0,0.0
B136,KFULL,1.0,N=10,N=10,True,17,17,0.0,0.0,0.0
SMALL663,K21,0.5,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K21,0.6,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K21,0.75,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K21,1.0,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K63,0.5,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K63,0.6,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K63,0.75,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K63,1.0,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K126,0.5,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K126,0.6,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K126,0.75,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K126,1.0,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K252,0.5,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K252,0.6,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K252,0.75,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,K252,1.0,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,KFULL,0.5,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,KFULL,0.6,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,KFULL,0.75,H=252,H=252,True,0,0,0.0,0.0,0.0
SMALL663,KFULL,1.0,H=252,H=252,True,0,0,0.0,0.0,0.0
