panel,anchor,cost_bps,chooser,pick_H,anchor_H,reach_anchor,pick_is_FAST,pick_OOS_S,anchor_OOS_S,delta_vs_anchor,ladder_mean_OOS_S,best_OOS_S,worst_OOS_S,spy_OOS_S,pick_OOS_CAGR,pick_OOS_DD,anchor_OOS_CAGR,anchor_OOS_DD,spy_OOS_CAGR,spy_OOS_DD,rank_IS_OOS,keep4b,fail4b,keep4a,fail4a
U56,A,0.0,C_ISSHARPE,189,126,0,0,1.0682256389375753,1.189847614569703,-0.12162197563212773,1.1662616032260091,1.2447802386701816,1.0682256389375753,0.8747033226162612,0.16175250622985926,-0.22201141178401673,0.17390622758184904,-0.19077302784114736,0.1527838188994346,-0.3371726770846233,-0.5833333333333334,False,L_DD,False,"A_H2,A_DD"
U56,A,0.0,C_ISCAGR,189,126,0,0,1.0682256389375753,1.189847614569703,-0.12162197563212773,1.1662616032260091,1.2447802386701816,1.0682256389375753,0.8747033226162612,0.16175250622985926,-0.22201141178401673,0.17390622758184904,-0.19077302784114736,0.1527838188994346,-0.3371726770846233,-0.5833333333333334,False,L_DD,False,"A_H2,A_DD"
U56,A,0.0,C_ISDD,10,126,0,0,1.2099271709516073,1.189847614569703,0.020079556381904284,1.1662616032260091,1.2447802386701816,1.0682256389375753,0.8747033226162612,0.1598385316536477,-0.19238509970966522,0.17390622758184904,-0.19077302784114736,0.1527838188994346,-0.3371726770846233,-0.5833333333333334,True,-,False,"A_H1,A_H2,A_DD"
U56,A,10.0,C_ISSHARPE,189,126,0,0,1.0526948324707202,1.1690155684196564,-0.11632073594893622,1.1307626604224732,1.1966138497404248,1.0526948324707202,0.8747033226162612,0.1590273194617391,-0.22213526208853618,0.17042230856703666,-0.19127563591226404,0.1527838188994346,-0.3371726770846233,-0.36666666666666675,False,L_DD,False,"A_H2,A_DD"
U56,A,10.0,C_ISCAGR,189,126,0,0,1.0526948324707202,1.1690155684196564,-0.11632073594893622,1.1307626604224732,1.1966138497404248,1.0526948324707202,0.8747033226162612,0.1590273194617391,-0.22213526208853618,0.17042230856703666,-0.19127563591226404,0.1527838188994346,-0.3371726770846233,-0.36666666666666675,False,L_DD,False,"A_H2,A_DD"
U56,A,10.0,C_ISDD,10,126,0,0,1.149374252546475,1.1690155684196564,-0.01964131587318141,1.1307626604224732,1.1966138497404248,1.0526948324707202,0.8747033226162612,0.15080488730094954,-0.19330056547489605,0.17042230856703666,-0.19127563591226404,0.1527838188994346,-0.3371726770846233,-0.36666666666666675,True,-,False,"A_H1,A_H2,A_DD"
U56,A,25.0,C_ISSHARPE,189,126,0,0,1.0293648929938397,1.1377290670852822,-0.1083641740914425,1.0774001124278818,1.1741481945719185,1.0293648929938397,0.8747033226162612,0.15495064067691167,-0.22232100879275118,0.16521474460001984,-0.1920294072759099,0.1527838188994346,-0.3371726770846233,0.30000000000000004,False,L_DD,False,"A_H2,A_DD"
U56,A,25.0,C_ISCAGR,189,126,0,0,1.0293648929938397,1.1377290670852822,-0.1083641740914425,1.0774001124278818,1.1741481945719185,1.0293648929938397,0.8747033226162612,0.15495064067691167,-0.22232100879275118,0.16521474460001984,-0.1920294072759099,0.1527838188994346,-0.3371726770846233,0.30000000000000004,False,L_DD,False,"A_H2,A_DD"
U56,A,25.0,C_ISDD,10,126,0,0,1.058331819792141,1.1377290670852822,-0.07939724729314124,1.0774001124278818,1.1741481945719185,1.0293648929938397,0.8747033226162612,0.13738114273921886,-0.194672498114159,0.16521474460001984,-0.1920294072759099,0.1527838188994346,-0.3371726770846233,0.30000000000000004,True,-,False,"A_H1,A_H2,A_DD"
U56,A,50.0,C_ISSHARPE,189,126,0,0,0.9903982695664051,1.0854938944272363,-0.09509562486083123,0.9882355399299261,1.1366129679889785,0.8528735329612611,0.8747033226162612,0.1481856798636214,-0.22263050997110945,0.15658409434335852,-0.19351324617376342,0.1527838188994346,-0.3371726770846233,0.8,False,L_DD,False,"A_H2,A_DD"
