panel,L,n_windows,p,sd,level
U56,0.125,8,0.9,0.036088914414964784,0.07503049315062191
U56,0.125,8,0.95,0.03807470100108777,0.09284283396792253
U56,0.125,8,0.975,0.03901170521656616,0.10700845673513078
U56,0.125,8,0.99,0.04026332842852601,0.12166806863163604
U56,0.125,8,0.995,0.041408008568685435,0.131663823712508
U56,0.125,8,0.999,0.04180331928220678,0.14102064864961505
U56,0.125,8,1.0,0.041947204200953006,0.14337405267276893
U56,0.25,4,0.9,0.03575276442161536,0.08055022352416544
U56,0.25,4,0.95,0.03782571257151808,0.0964398379483161
U56,0.25,4,0.975,0.03888052825522437,0.11126523653487752
U56,0.25,4,0.99,0.03927159281829409,0.12247461169720374
U56,0.25,4,0.995,0.03953853587444167,0.13465870316552364
U56,0.25,4,0.999,0.04034956684353285,0.1511333694999472
U56,0.25,4,1.0,0.04025674428953714,0.15435848600574137
U56,0.375,2,0.9,0.03720468359513163,0.08439966655002454
U56,0.375,2,0.95,0.0415464447887771,0.10544841102352667
U56,0.375,2,0.975,0.04257846609941604,0.11877860075448701
U56,0.375,2,0.99,0.04312991368727882,0.13801480417164785
U56,0.375,2,0.995,0.04319281507135107,0.14840570878119833
U56,0.375,2,0.999,0.04387481785045119,0.16211515713529262
U56,0.375,2,1.0,0.04344179596254556,0.16539905774191088
U56,0.5,2,0.9,0.029953088483078257,0.0839761550042063
U56,0.5,2,0.95,0.034858926385766174,0.10332146514618878
U56,0.5,2,0.975,0.037418424840132344,0.1172412606740676
U56,0.5,2,0.99,0.039255621822940165,0.1354584408463415
U56,0.5,2,0.995,0.03940446467939158,0.1435844293851073
U56,0.5,2,0.999,0.039621714150435625,0.1612274616862046
U56,0.5,2,1.0,0.03998367722389386,0.16539905774191072
U56,0.625,1,0.9,0.03567941823297143,0.08855574221321054
U56,0.625,1,0.95,0.03991652993296337,0.10564871327897912
U56,0.625,1,0.975,0.0419949820808475,0.11807430456045823
U56,0.625,1,0.99,0.04412171621329619,0.13247127104715634
U56,0.625,1,0.995,0.04438630125110834,0.14350248731452775
U56,0.625,1,0.999,0.044437393409103534,0.16559324679289042
U56,0.625,1,1.0,0.045792037529999594,0.1910439588397438
U56,0.75,1,0.9,0.03243442234695458,0.08566502631964136
U56,0.75,1,0.95,0.03829418092539946,0.10477538841206276
U56,0.75,1,0.975,0.0415306964994779,0.11952332452225596
U56,0.75,1,0.99,0.04256156590365579,0.13996757489956685
U56,0.75,1,0.995,0.04276235993692321,0.15617074498360042
U56,0.75,1,0.999,0.044684081844259156,0.18836287960126583
U56,0.75,1,1.0,0.044206463697171225,0.19127563591226449
U56,0.875,1,0.9,0.03088602693401558,0.08973210308823709
U56,0.875,1,0.95,0.038634741300920074,0.10648569440639927
U56,0.875,1,0.975,0.04335696041785136,0.11956383223560155
U56,0.875,1,0.99,0.044515385876527015,0.13594789018014836
U56,0.875,1,0.995,0.04484249988810386,0.1523196389027619
U56,0.875,1,0.999,0.04504959983330207,0.18721555692665334
U56,0.875,1,1.0,0.04473221284926048,0.19127563591226449
U56,1.0,1,0.9,0.0303078822989459,0.08823751941432226
U56,1.0,1,0.95,0.03744560800323511,0.104400427139896
U56,1.0,1,0.975,0.04136334604960184,0.11816124695729038
U56,1.0,1,0.99,0.04471773593253362,0.13412607806938945
U56,1.0,1,0.995,0.04568063395840469,0.15179398746816783
U56,1.0,1,0.999,0.046157080649057755,0.1842082031188909
U56,1.0,1,1.0,0.045583839496419525,0.19127563591226449
B135,0.125,8,0.9,0.0424418745751471,0.08216234224816016
B135,0.125,8,0.95,0.04370544659525759,0.0993590244160763
B135,0.125,8,0.975,0.0445785532916202,0.11421758874712869
B135,0.125,8,0.99,0.045484639466069135,0.12830142341398423
B135,0.125,8,0.995,0.046266934512770204,0.13826900502274353
B135,0.125,8,0.999,0.0468028392404988,0.1505380391716996
B135,0.125,8,1.0,0.046866013020150164,0.1533690811184354
B135,0.25,4,0.9,0.03993805672085061,0.08450081721260631
B135,0.25,4,0.95,0.04185091327126991,0.10276482179023665
B135,0.25,4,0.975,0.043291627971673005,0.11473390344291003
B135,0.25,4,0.99,0.04375282407021419,0.12886909166557006
B135,0.25,4,0.995,0.044195902347632585,0.1413684087001314
