form,fbar,rungs,k,detected,share,recall_DEP12,recall_DEP11,missed_DEP11,false_pos,draws
CF_POINT,0.02,63,1,0,0.0,0.0,0.0,22,0,0
CF_POINT,0.05,63,1,0,0.0,0.0,0.0,22,0,0
CF_POINT,0.1,63,1,0,0.0,0.0,0.0,22,0,0
CF_POINT,0.25,63,1,0,0.0,0.0,0.0,22,0,0
CF_POINT,0.5,63,1,0,0.0,0.0,0.0,22,0,0
CF_POINT,1.0,63,1,0,0.0,0.0,0.0,22,0,0
CF_LADDER4,0.02,21|63|126|252,4,6,0.08333333333333333,0.09836065573770492,0.2727272727272727,16,0,3000
CF_LADDER4,0.05,21|63|126|252,4,6,0.08333333333333333,0.09836065573770492,0.2727272727272727,16,0,3000
CF_LADDER4,0.1,21|63|126|252,4,6,0.08333333333333333,0.09836065573770492,0.2727272727272727,16,0,3000
CF_LADDER4,0.25,21|63|126|252,4,6,0.08333333333333333,0.09836065573770492,0.2727272727272727,16,0,3000
CF_LADDER4,0.5,21|63|126|252,4,6,0.08333333333333333,0.09836065573770492,0.2727272727272727,16,0,3000
CF_LADDER4,1.0,21|63|126|252,4,6,0.08333333333333333,0.09836065573770492,0.2727272727272727,16,0,3000
CF_LADDER11,0.02,1|2|5|10|21|42|63|126|252|504|1008,11,22,0.3055555555555556,0.36065573770491804,1.0,0,0,10000
CF_LADDER11,0.05,1|2|5|10|21|42|63|126|252|504|1008,11,22,0.3055555555555556,0.36065573770491804,1.0,0,0,10000
CF_LADDER11,0.1,1|2|5|10|21|42|63|126|252|504|1008,11,22,0.3055555555555556,0.36065573770491804,1.0,0,0,10000
CF_LADDER11,0.25,1|2|5|10|21|42|63|126|252|504|1008,11,22,0.3055555555555556,0.36065573770491804,1.0,0,0,10000
CF_LADDER11,0.5,1|2|5|10|21|42|63|126|252|504|1008,11,22,0.3055555555555556,0.36065573770491804,1.0,0,0,10000
CF_LADDER11,1.0,1|2|5|10|21|42|63|126|252|504|1008,11,22,0.3055555555555556,0.36065573770491804,1.0,0,0,10000
CF_LADDER12,0.02,1|2|5|10|21|42|63|126|252|504|1008|T,12,61,0.8472222222222222,1.0,1.0,0,0,10000
CF_LADDER12,0.05,1|2|5|10|21|42|63|126|252|504|1008|T,12,61,0.8472222222222222,1.0,1.0,0,0,10000
CF_LADDER12,0.1,1|2|5|10|21|42|63|126|252|504|1008|T,12,61,0.8472222222222222,1.0,1.0,0,0,10000
CF_LADDER12,0.25,1|2|5|10|21|42|63|126|252|504|1008|T,12,61,0.8472222222222222,1.0,1.0,0,0,10000
CF_LADDER12,0.5,1|2|5|10|21|42|63|126|252|504|1008|T,12,61,0.8472222222222222,1.0,1.0,0,0,10000
CF_LADDER12,1.0,1|2|5|10|21|42|63|126|252|504|1008|T,12,61,0.8472222222222222,1.0,1.0,0,0,10000
CF_IDENTITY,0.02,63|T,2,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,0
CF_IDENTITY,0.05,63|T,2,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,0
CF_IDENTITY,0.1,63|T,2,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,0
CF_IDENTITY,0.25,63|T,2,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,0
CF_IDENTITY,0.5,63|T,2,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,0
CF_IDENTITY,1.0,63|T,2,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,0
CF_FRACTION,0.02,42|63|126|252|504|1008|T,7,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,5000
CF_FRACTION,0.05,63|126|252|504|1008|T,6,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,4000
CF_FRACTION,0.1,63|252|504|1008|T,5,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,3000
CF_FRACTION,0.25,63|504|1008|T,4,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,2000
CF_FRACTION,0.5,63|1008|T,3,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,1000
CF_FRACTION,1.0,63|T,2,55,0.7638888888888888,0.9016393442622951,0.7272727272727273,6,0,0
