PICK_SET,COST_BPS,picks,folds,move_rate,turn_pick,turn_anchor,drag_pick_pp,drag_anc_pp,mean_S_pick,mean_S_anchor,DELTA,SE,t,GROSS_PART,REBATE,SHARE
P_1214,0.0,42,14,1.0,3.661543015234389,3.469135014478301,0.0,0.0,0.9946605731652146,1.0627287304895934,0.06806815732437879,0.05158087191875218,1.3196395251246746,0.06806815732437879,0.0,0.0
P_1214,10.0,42,14,1.0,3.661543015234389,3.469135014478301,0.41543410100015604,0.394382573858761,0.9697616354163191,1.0388064138210755,0.06904477840475634,0.05132537377792196,1.3452367381386034,0.06806815732437879,0.0009766210803775488,0.014144749290849655
P_1214,25.0,42,14,1.0,3.661543015234389,3.469135014478301,1.0360158152384689,0.9836972461269708,0.9322504785874166,1.00278467870443,0.07053420011701346,0.050953637317175025,1.3842819439553216,0.06806815732437879,0.002466042792634668,0.03496236986516612
P_1214,50.0,42,14,1.0,3.661543015234389,3.469135014478301,2.063502564406775,1.9598910951196924,0.869373863255936,0.9424367336678944,0.07306287041195848,0.050375238821393116,1.4503726854974333,0.06806815732437879,0.004994713087579691,0.06836185136742434
P_AXIS,0.0,168,14,0.5833333333333334,3.42572858681811,3.469135014478301,0.0,0.0,1.0418427765461868,1.0627287304895934,0.020885953943406543,0.028190917704605415,0.7408752762949077,0.020885953943406543,0.0,0.0
P_AXIS,10.0,168,14,0.5833333333333334,3.42572858681811,3.469135014478301,0.3880676901688344,0.394382573858761,1.0175051962921724,1.0388064138210755,0.021301217528903207,0.028246482629319364,0.7541192936635909,0.020885953943406543,0.0004152635854966641,0.019494828637527457
P_AXIS,25.0,168,14,0.5833333333333334,3.42572858681811,3.469135014478301,0.9678313794320474,0.9836972461269711,0.9808508272579358,1.00278467870443,0.0219338514464943,0.028337278578465817,0.774028154671224,0.020885953943406543,0.001047897503087758,0.04777535334567263
P_AXIS,50.0,168,14,0.5833333333333334,3.42572858681811,3.469135014478301,1.927903676351848,1.9598910951196922,0.919431890068852,0.9424367336678944,0.02300484359904241,0.028509119964120155,0.8069292783500476,0.020885953943406543,0.0021188896556358673,0.09210624043208307
P_TEXT,0.0,620,10,0.8064516129032258,3.3363451339991506,3.5167989692043338,0.0,0.0,1.0440275117520275,1.0631333878013485,0.01910587604932094,0.010432230777261305,1.83142766463384,0.01910587604932094,0.0,0.0
P_TEXT,10.0,620,10,0.8064516129032258,3.3363451339991506,3.5167989692043338,0.37505907059608806,0.40128292125225296,1.0194847487354963,1.0399802788760213,0.020495530140524833,0.010489270956719355,1.953951826117671,0.01910587604932094,0.0013896540912038922,0.06780278829949343
P_TEXT,25.0,620,10,0.8064516129032258,3.3363451339991506,3.5167989692043338,0.9350766290056935,1.0008435685460098,0.9825363868029134,1.005115326782089,0.022578939979175233,0.010583719368899963,2.1333653314280965,0.01910587604932094,0.0034730639298542927,0.15381873254712275
P_TEXT,50.0,620,10,0.8064516129032258,3.3363451339991506,3.5167989692043338,1.8616368304069526,1.9938376799215987,0.9206544619485832,0.9466928439848669,0.02603838203628364,0.010762002509144731,2.4194737005643887,0.01910587604932094,0.006932505986962701,0.26624181092751764
