gate,value,target,pass_
TAPE STAMP U56,"4708 rows, 2008-01-02..2026-09-18","published, not asserted",True
TAPE STAMP B136,"4708 rows, 2008-01-02..2026-09-18","published, not asserted",True
TAPE STAMP SMALL,"4203 rows, 2010-01-04..2026-09-18","published, not asserted",True
G0 min sample >= 10 years (rule 1),16.68,>= 10.0,True
"G1 cross-script replay of ideas 1296/1346/1358's U56 anchor (HOLD, H=126) on CAGR/Sharpe/MaxDD/H1/H2/turn",4.441e-16,< 5e-6,True
"G2 exposure removed, U56 H63","HOLD carries 1409 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G2 exposure removed, U56 H126","HOLD carries 1992 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G2 exposure removed, U56 H189","HOLD carries 2704 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G1 cross-script replay of ideas 1296/1346/1358's B136 anchor (HOLD, H=126) on CAGR/Sharpe/MaxDD/H1/H2/turn",1.110e-16,< 5e-6,True
"G2 exposure removed, B136 H63","HOLD carries 1042 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G2 exposure removed, B136 H126","HOLD carries 2153 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G2 exposure removed, B136 H189","HOLD carries 2827 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G1 cross-script replay of ideas 1296/1346/1358's SMALL anchor (HOLD, H=126) on CAGR/Sharpe/MaxDD/H1/H2/turn",8.327e-17,< 5e-6,True
"G2 exposure removed, SMALL H63","HOLD carries 2516 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G2 exposure removed, SMALL H126","HOLD carries 3761 ineligible name-weeks, ELIG carries 0","published, not asserted",True
"G2 exposure removed, SMALL H189","HOLD carries 4480 ineligible name-weeks, ELIG carries 0","published, not asserted",True
G3 NO LEVERAGE (rule 2): max invested weight sum over every cell and rebalance,0.600000000000,<= 0.6 + 1e-12,True
G2 under ELIG no held name is ineligible on its own lagged decision row,0 ineligible name-weeks on every panel and H,0,True
G2b the release never widens the book: mean held names <= N at every cell,14.1863,<= 15,True
