panel,theta,days,exact_share,mean_abs_dk,max_abs_dk
U56,0.12,4448,1.0,0.0,0
U56,0.06,4448,1.0,0.0,0
U56,0.0,4448,1.0,0.0,0
U56,-0.06,4448,0.9943794964028777,0.005620503597122302,1
U56,-0.12,4448,0.9694244604316546,0.030575539568345324,1
B136,0.12,4448,1.0,0.0,0
B136,0.06,4448,1.0,0.0,0
B136,0.0,4448,1.0,0.0,0
B136,-0.06,4448,1.0,0.0,0
B136,-0.12,4448,0.9898830935251799,0.010116906474820143,1
SMALL439,0.12,3943,1.0,0.0,0
SMALL439,0.06,3943,1.0,0.0,0
SMALL439,0.0,3943,1.0,0.0,0
SMALL439,-0.06,3943,1.0,0.0,0
SMALL439,-0.12,3943,1.0,0.0,0
