panel,sleeve,gross,CAGR,Sharpe,MaxDD,H1,H2,vol,sbar,sbar_oos,turn,drag_bp,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,IS_CAGR,IS_vol,IS_sbar,keep4a,keep4b,keep4a_oos,keep4b_oos,fail_legs,fail_legs_oos,FD_resid_daily,FD_CAGR,FD_dCAGR,FD_dSharpe,FD_dMaxDD,script
U56,CASH,0.4,0.09067310481542501,1.170808876340716,-0.1116097864911827,1.2518484809281438,1.1209365918878211,0.07665650075609864,0.5995219925263822,0.599449120099993,1.6728038380152834,16.728038380152835,0.1003419718499905,1.195451431630306,-0.1116097864911827,1.147576830789405,0.07902784568334686,0.068324984167918,0.5996106231157274,False,False,False,False,CAGR,CAGR,1.3877787807814457e-17,0.09067310481542501,0.0,-2.220446049250313e-16,5.551115123125783e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,CASH,0.5,0.1136430808881701,1.171259100086609,-0.1380057436511507,1.2522896293866572,1.121431733426105,0.0958427461973433,0.49950863539084994,0.4994337243475839,2.0699986528644065,20.699986528644065,0.12584396811518328,1.1959939657915992,-0.13800574365115148,1.1479076433482558,0.09898189783190281,0.08541992088519411,0.49959974543400515,False,True,False,True,-,-,1.3877787807814457e-17,0.1136430808881701,0.0,-2.220446049250313e-16,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,CASH,0.6,0.13670200118928255,1.1716623554016101,-0.16381481251547603,1.2526855979053693,1.121880836109541,0.11504003545558832,0.3995345877002858,0.3994636326146826,2.4630433479658516,24.630433479658514,0.15147424801121967,1.1964884282955432,-0.16381481251547625,1.1481941605273667,0.11899053558761663,0.1025212890867352,0.3996208863370359,False,True,False,True,-,-,1.3877787807814457e-17,0.13670200118928233,-2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,CASH,0.75,0.17141797553062155,1.1721692496899654,-0.20144573234926466,1.2531842407195926,1.1224587340486762,0.14385923631853806,0.24964377887393152,0.24958947297410053,3.0509430496985224,30.509430496985225,0.19011276327864612,1.1971310306400553,-0.20144573234926366,1.1485294481326336,0.1490759048054069,0.12818656105039414,0.24970982805255007,False,True,False,True,-,-,4.163336342344337e-17,0.17141797553062177,2.220446049250313e-16,0.0,3.3306690738754696e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,CASH,0.9,0.2062297768569672,1.1725498246122334,-0.2378036551969246,1.253558272930497,1.122914318974024,0.1727098622970225,0.09983255967040938,0.0998070366646317,3.645926719171513,36.45926719171513,0.22891314011928432,1.1976457567960372,-0.2378036551969247,1.1487429932883306,0.17920482710957586,0.15386916668715833,0.09986360185132781,False,False,False,False,DD,DD,4.163336342344337e-17,0.20622977685696742,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,SHY,0.4,0.09901585885955067,1.2735128976111878,-0.10558469777330626,1.3349329082032042,1.2431443668897662,0.07644710198139877,0.5995321206397309,0.599459117376886,1.9199779583018037,19.19977958301804,0.11140000740242573,1.3127616276586853,-0.10558469777330515,1.231519966205184,0.08413955482479052,0.06745858523820888,0.5996209103580193,True,False,False,True,CAGR,-,1.0408340855860843e-17,0.09901585885955067,0.0,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,SHY,0.5,0.12069470053866094,1.2407084998721918,-0.13313616233718184,1.3081191744324192,1.204213738667043,0.095543994358604,0.49951925440959244,0.4994441388919916,2.3272665660621352,23.272665660621353,0.1352087870574481,1.2755802269798444,-0.13313616233718295,1.2042067832707544,0.10329190991055759,0.08462121051617025,0.4996106131432564,False,True,False,True,-,-,1.3877787807814457e-17,0.12069470053866094,0.0,-2.220446049250313e-16,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,SHY,0.6,0.14242197546609758,1.2182421667581427,-0.16003740042831693,1.2899648798230192,1.1774779209275674,0.11473433738560766,0.39954484899733306,0.3994736327802164,2.7098753351286287,27.098753351286287,0.15908492760049442,1.2499888136659651,-0.16003740042831682,1.1857429260947976,0.12247828537388905,0.10184141621337939,0.39963146523349735,False,True,False,True,-,-,2.7755575615628914e-17,0.14242197546609758,0.0,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,SHY,0.75,0.1750658179955582,1.1954947508492653,-0.19919215033695936,1.271760847829281,1.1503462565323679,0.1436260771432579,0.24965187541818762,0.24959729043917547,3.243552367393775,32.43552367393775,0.19497966925028543,1.2239886292649123,-0.1991921503369598,1.1672204119470766,0.15129245151812354,0.12773595172499236,0.24971826402494837,False,True,False,True,-,-,2.7755575615628914e-17,0.1750658179955582,0.0,0.0,-3.3306690738754696e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,SHY,0.9,0.2077176399904932,1.1803005924468901,-0.2369436079813274,1.2597074854725292,1.1321943942624653,0.17260519659713824,0.09983648516441818,0.09981079268981412,3.7381925977501735,37.38192597750174,0.23090339938582405,1.2065869515477776,-0.23694360798132708,1.1549263210821272,0.18010592527630775,0.1536819965832204,0.09986773346063565,False,False,False,False,DD,DD,4.163336342344337e-17,0.20771763999049342,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
