panel,device,turn_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,FULL_4b,FULL_4a_POOLED,FULL_4a_H2_MIN,FULL_4a_H2_ALL,FULL_4a_T3_MIN,FULL_4a_T3_ALL,FULL_4a_Y_MIN,FULL_4a_Y_ALL,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_4b,IS_4a_POOLED,IS_4a_H2_MIN,IS_4a_H2_ALL,IS_4a_T3_MIN,IS_4a_T3_ALL,IS_4a_Y_MIN,IS_4a_Y_ALL,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a_POOLED,OOS_4a_H2_MIN,OOS_4a_H2_ALL,OOS_4a_T3_MIN,OOS_4a_T3_ALL,OOS_4a_Y_MIN,OOS_4a_Y_ALL
SMALL,BAND0.00_G0.75,3.6664405236610773,0.038461490938729526,0.603758358158778,-0.13778378008493897,False,False,True,False,True,False,True,False,0.04501035066972725,0.7606481002414256,-0.08636837663541874,False,False,False,False,False,False,False,False,0.0344522484407781,0.5220779424680746,-0.13778378008494263,False,False,True,False,True,False,True,False
SMALL,BAND0.03_G0.75,2.5691619960799783,0.04263549964259328,0.6596066000247431,-0.14158634613008658,False,False,True,False,True,False,True,False,0.05292570177641953,0.8751921874491732,-0.0840600887444044,False,False,True,False,True,False,True,False,0.03635375722473366,0.5457504412853388,-0.14158634613008736,False,False,True,False,True,False,True,False
SMALL,BAND0.08_G0.75,1.719289200285323,0.04760772318415096,0.7133882468950061,-0.14584899901541792,False,False,False,False,False,False,False,False,0.059650880313727894,0.9524494254431323,-0.07698496826543721,False,True,True,True,True,True,True,False,0.040265430064930774,0.586370044955108,-0.1458489990154177,False,False,False,False,False,False,False,False
SMALL,MAXVOL0.60_G0.75,11.771588337556802,0.04666205832404047,0.4363242661297507,-0.3812125006442223,False,False,False,False,False,False,False,False,0.06723769883889763,0.6956892441409512,-0.1730091317345187,False,False,False,False,False,False,False,False,0.034199054030428,0.32017315366537935,-0.38121250064422174,False,False,False,False,False,False,False,False
SMALL,MAXVOL0.80_G0.75,10.74352169772022,0.052651493469057176,0.4705258790329114,-0.38078400336476703,False,False,False,False,False,False,False,False,0.06677532647173767,0.6718815604715711,-0.1750303379463104,False,False,False,False,False,False,False,False,0.04405388417596989,0.3823553109116219,-0.3807840033647657,False,False,False,False,False,False,False,False
SMALL,TOP10_G0.75,25.63476572066077,0.09632089117520182,0.5739325952624436,-0.28822590160609496,False,False,False,False,False,False,False,False,0.09913887636310603,0.6294194369346785,-0.20330079320773675,False,False,False,False,False,False,False,False,0.094590515740401,0.5468061371701165,-0.28822590160609496,False,False,False,False,False,False,False,False
SMALL,TOP20_G0.75,21.311659066907307,0.07791717543644383,0.539684250572662,-0.32806145346118565,False,False,False,False,False,False,False,False,0.07607606923758792,0.5682710480826751,-0.20107195253200982,False,False,False,False,False,False,False,False,0.079051612959955,0.5266648776474422,-0.32806145346118487,False,False,False,False,False,False,False,False
SMALL,TOP40_G0.75,18.851102684154853,0.052941981810396,0.4274383335848072,-0.3326395558705333,False,False,False,False,False,False,False,False,0.049159688805025636,0.43757890338275524,-0.2058891282746147,False,False,False,False,False,False,False,False,0.05527608163936959,0.42473846964406775,-0.33263955587053284,False,False,False,False,False,False,False,False
SMALL,BAND0.00_G1.00,4.881048013235012,0.05060829192747929,0.6039267371395239,-0.18031200902120814,False,False,False,False,False,False,False,False,0.059692340527877086,0.7616526429691077,-0.11397957068338294,False,False,False,False,False,False,False,False,0.045057423306154476,0.5218100381465766,-0.18031200902120703,False,False,False,False,False,False,False,False
SMALL,BAND0.03_G1.00,3.415630355778342,0.05622688575217505,0.6597925438420382,-0.18524928186754874,False,False,False,False,False,False,False,False,0.07038309491777439,0.8761895565862697,-0.11102877401062694,False,False,False,False,False,False,False,False,0.047609466601277406,0.5455169082679762,-0.18524928186754697,False,False,False,False,False,False,False,False
SMALL,BAND0.08_G1.00,2.280551318850208,0.06288475487811529,0.7134695097290117,-0.1909447656321701,False,False,False,False,False,False,False,False,0.07944540922806653,0.953331382378881,-0.10190944862009288,False,False,False,False,False,False,False,False,0.05282114216105138,0.5860527075129297,-0.19094476563217044,False,False,False,False,False,False,False,False
SMALL,MAXVOL0.60_G1.00,15.565867450487126,0.05933762048579938,0.4367203787540031,-0.4793012453422052,False,False,False,False,False,False,False,False,0.08851339267649183,0.6977686818769931,-0.22540159268392357,False,False,False,False,False,False,False,False,0.04177512138234274,0.32013594447881594,-0.47930124534220486,False,False,False,False,False,False,False,False
