panel,frame,maxvol,rival,cstar_bps,ahead_at_zero,never_within_200,dS_at_10,dS_at_25,turn_W,turn_rival
U56,LIVE,0.45,D,0.0,True,False,0.012030456028381709,-0.009237209723128581,2.080471295233666,2.8988943881067772
U56,LIVE,0.45,M,15.70614959543904,False,False,-0.0065862494179427244,0.010708310644907515,2.080471295233666,1.4581604622673527
U56,LIVE,0.45,Q,142.8035520819957,False,False,-0.28893039711725255,-0.2562083178364398,2.080471295233666,0.865444830852917
U56,LIVE,0.60,D,0.0,True,False,-0.005011112777838944,-0.022484270336189827,1.9395197517252818,2.662626099041215
U56,LIVE,0.60,M,21.886027224642795,False,False,-0.011735819301499362,0.0030697008528468572,1.9395197517252818,1.359284646227958
U56,LIVE,0.60,Q,121.56312434420627,False,False,-0.2011958320177759,-0.1740524200114596,1.9395197517252818,0.854985953355979
U56,LIVE,0.80,D,,False,True,-0.02319456229840089,-0.039499874200008556,1.8485857049617267,2.5492844675349495
U56,LIVE,0.80,M,46.41992989017254,False,False,-0.03356878675499475,-0.019717705591272505,1.8485857049617267,1.2874955367766645
U56,LIVE,0.80,Q,145.97942743390246,False,False,-0.21674872143702395,-0.1927211909730543,1.8485857049617267,0.8532267535339095
U56,LIVE,none,D,,False,True,-0.011395211682002193,-0.02703328358314705,1.7735558120699924,2.4649985040125033
U56,LIVE,none,M,43.64010754928587,False,False,-0.029015362926149812,-0.01605611917773575,1.7735558120699924,1.2338600285030954
U56,LIVE,none,Q,152.1959083342516,False,False,-0.20770279352886556,-0.18565272684596845,1.7735558120699924,0.8359046839053443
U56,INC,0.45,D,0.0,True,False,-0.005744770604924732,-0.017456953869158243,2.843888203961324,4.078329470381172
U56,INC,0.45,M,52.31267064624625,False,False,-0.019672218926563012,-0.01263974254030975,2.843888203961324,2.176573672300248
U56,INC,0.45,Q,66.24956209146481,False,False,-0.049332591129430226,-0.036045705594642596,2.843888203961324,1.664892851335455
U56,INC,0.60,D,,False,True,-0.09121971850745303,-0.10261189056719133,2.871270351412812,4.0450759433015255
U56,INC,0.60,M,174.9966651302683,False,False,-0.08429961342956993,-0.07642763841850075,2.871270351412812,2.1605430046376943
U56,INC,0.60,Q,12.422702067574708,False,False,-0.0021730638180410544,0.011241897664474143,2.871270351412812,1.641261498213017
U56,INC,0.80,D,0.0,True,False,0.02419741589702573,0.01213859911357229,2.9116973964263346,4.091443321722848
U56,INC,0.80,M,31.677516501459486,False,False,-0.012324991807322716,-0.003784617580866012,2.9116973964263346,2.1635155035999065
U56,INC,0.80,Q,27.952090629084005,False,False,-0.0169140145223885,-0.0027741763733182268,2.9116973964263346,1.6270613134869991
U56,INC,none,D,,False,True,-0.008216172889382145,-0.020087183437656586,2.8079179609038114,4.01474377896759
U56,INC,none,M,55.63562865534222,False,False,-0.023807049364312993,-0.01592589788398735,2.8079179609038114,2.102074571491895
U56,INC,none,Q,108.25150151795455,False,False,-0.08559579293490116,-0.07234453161279197,2.8079179609038114,1.597390708288658
B136,LIVE,0.45,D,0.0,True,False,0.010559157944892483,-0.010528345691074636,2.293759208989278,3.146465043808525
B136,LIVE,0.45,M,15.51932379654983,False,False,-0.006787589286746609,0.011639583828348954,2.293759208989278,1.599591757984721
B136,LIVE,0.45,Q,95.70229785574392,False,False,-0.20154164329026403,-0.16621996897491376,2.293759208989278,0.9269960391029096
B136,LIVE,0.60,D,0.0,True,False,0.005420393168474424,-0.012356743744722953,2.1250737284401437,2.88671413243027
B136,LIVE,0.60,M,4.718626127554822,False,False,0.005583204683184517,0.021407362759958914,2.1250737284401437,1.4828850693387685
B136,LIVE,0.60,Q,91.72421971208712,False,False,-0.15773061688640133,-0.12872335515281685,2.1250737284401437,0.9178039672680216
B136,LIVE,0.80,D,0.0,True,False,-0.004041424892290868,-0.020611685619126074,2.049554185425288,2.7792899596234535
B136,LIVE,0.80,M,25.580633236918572,False,False,-0.015652988792996148,-0.0005825414181981348,2.049554185425288,1.4212467376490854
B136,LIVE,0.80,Q,103.47838996910872,False,False,-0.1658275225983754,-0.1391457611544633,2.049554185425288,0.9097258438433673
B136,LIVE,none,D,0.0,True,False,-0.001608082887726292,-0.01774999194382132,2.011145957238792,2.7313932178609313
B136,LIVE,none,M,24.163040325406385,False,False,-0.01386257512634681,0.0008181090278545078,2.011145957238792,1.3884774589851803
B136,LIVE,none,Q,102.99689758707416,False,False,-0.1584702793672691,-0.13283496775973846,2.011145957238792,0.8989037679718107
B136,INC,0.45,D,0.0,True,False,0.022015370719578042,0.014762556854896358,3.2486544788934206,4.361904573136024
B136,INC,0.45,M,0.0,True,False,0.08445410246385099,0.09281704033873883,3.2486544788934206,2.5647079400801402
B136,INC,0.45,Q,25.818517854615607,False,False,-0.013843906120803995,-0.0007150813794701838,3.2486544788934206,2.00821882514319
B136,INC,0.60,D,,False,True,-0.06316631398952044,-0.0703086965339601,3.2480549590542847,4.360998202424478
B136,INC,0.60,M,0.0,True,False,0.016107994282547056,0.024723573753308914,3.2480549590542847,2.46609468204593
B136,INC,0.60,Q,99.37202174251638,False,False,-0.07374519565483983,-0.06128754204313025,3.2480549590542847,1.9729392622456667
B136,INC,0.80,D,,False,True,-0.06648316145209587,-0.07396006188827642,3.143444286441609,4.331090424209443
B136,INC,0.80,M,0.0,True,False,0.048046428440501554,0.05567572188059189,3.143444286441609,2.4706744683048236
B136,INC,0.80,Q,87.68269386420857,False,False,-0.05981404214469099,-0.04826175138298161,3.143444286441609,1.9540468980776113
B136,INC,none,D,,False,True,-0.12930438684211631,-0.13823076383580102,3.027924922777398,4.336016155526756
B136,INC,none,M,0.0,True,False,0.05968501489701983,0.06619209520084168,3.027924922777398,2.4317821732429192
B136,INC,none,Q,126.805333536105,False,False,-0.08427522610503568,-0.07347636025788218,3.027924922777398,1.8927853220503315
SMALL,LIVE,0.45,D,0.0,True,False,0.0028700149982168743,-0.040090029705977415,3.020516753639107,4.29896560551055
SMALL,LIVE,0.45,M,0.0,True,False,0.12270398669558269,0.16213323690285542,3.020516753639107,1.8933940447594206
SMALL,LIVE,0.45,Q,16.428760206223473,False,False,-0.03182129630063857,0.04240628193415519,3.020516753639107,0.9102549923213282
SMALL,LIVE,0.60,D,0.0,True,False,-0.018906240693996823,-0.05096442880625163,2.868639553733358,4.022460982457366
SMALL,LIVE,0.60,M,0.0,True,False,0.09457786976441596,0.125419010365306,2.868639553733358,1.8018944308077987
SMALL,LIVE,0.60,Q,24.15476368659057,False,False,-0.05269481594556735,0.0031454808712874094,2.868639553733358,0.9481268398823115
SMALL,LIVE,0.80,D,0.0,True,False,-0.014477919928833183,-0.04133352738283491,2.719891112510248,3.79947408467856
SMALL,LIVE,0.80,M,0.0,True,False,0.07470618321316258,0.10096730759022565,2.719891112510248,1.712527645385884
SMALL,LIVE,0.80,Q,26.624501158792583,False,False,-0.05095982286721501,-0.004977750407318515,2.719891112510248,0.9605296823744557
SMALL,LIVE,none,D,,False,True,-0.029960820021762036,-0.054880803143346424,2.571955338737016,3.662997310394009
SMALL,LIVE,none,M,0.0,True,False,0.06695375116555591,0.09018114289561385,2.571955338737016,1.600456438494753
SMALL,LIVE,none,Q,29.775574536648534,False,False,-0.05099923287599084,-0.012311218965144088,2.571955338737016,0.9560660256346909
SMALL,INC,0.45,D,,False,True,-0.11094544856974842,-0.12407681697217882,3.984169286452417,5.729202966988547
SMALL,INC,0.45,M,,False,True,-0.13665337931854582,-0.1285997530473112,3.984169286452417,3.145010590872002
SMALL,INC,0.45,Q,,False,True,-0.17334359490617762,-0.15964250516307343,3.984169286452417,2.3991925177397335
SMALL,INC,0.60,D,,False,True,-0.06633827681884708,-0.08011689378569359,4.141808192907765,6.077051131021891
SMALL,INC,0.60,M,,False,True,-0.15308690624434224,-0.14460276504964742,4.141808192907765,3.180450986499157
SMALL,INC,0.60,Q,138.16445137055155,False,False,-0.12319317766407795,-0.1086439671348699,4.141808192907765,2.4021694339982433
SMALL,INC,0.80,D,,False,True,-0.07556218804900394,-0.08980747952946999,4.229547502918429,6.320930480093956
SMALL,INC,0.80,M,0.0,True,False,0.027219301498346504,0.0356410305085787,4.229547502918429,3.236687937729962
SMALL,INC,0.80,Q,76.27067563145044,False,False,-0.0647923630474807,-0.050093898472388376,4.229547502918429,2.3972243223164935
SMALL,INC,none,D,0.0,True,False,0.004821836908530885,-0.010850932513938205,4.342472988208285,6.708513277625903
SMALL,INC,none,M,0.0,True,False,0.03827797144485778,0.04736846987454002,4.342472988208285,3.2362727990257425
SMALL,INC,none,Q,0.0,True,False,0.025326756598891054,0.04008483124150253,4.342472988208285,2.3571375874898686
