panel,frame,cost_bps,chooser,pick_cadence,pick_maxvol,fellback,oCAGR,oSharpe,oMaxDD,d_vs_anchor,d_vs_live,d_vs_spy,keep4a_oos,keep4b_oos
U56,LIVE,10.0,C_SHARPE,M,none,False,0.09554273464862506,1.224460310701633,-0.14381688635217937,-0.05242208675719251,-0.05242208675719251,0.3506201636469194,False,False
U56,LIVE,10.0,C_MEMO,W,none,True,0.0945517936976279,1.2768823974588255,-0.12054956914840875,0.0,0.0,0.4030422504041119,False,False
U56,LIVE,10.0,C_ANCHOR,W,none,False,0.0945517936976279,1.2768823974588255,-0.12054956914840875,0.0,0.0,0.4030422504041119,False,False
U56,LIVE,25.0,C_SHARPE,M,none,False,0.09349835239062498,1.20026611963146,-0.14407153694630903,-0.03976995128113514,-0.03976995128113536,0.3264259725767463,False,False
U56,LIVE,25.0,C_MEMO,W,none,True,0.09162298082962983,1.240036070912595,-0.12092645658916656,0.0,-2.220446049250313e-16,0.36619592385788147,False,False
U56,LIVE,25.0,C_ANCHOR,W,none,False,0.09162298082962983,1.240036070912595,-0.12092645658916656,0.0,-2.220446049250313e-16,0.36619592385788147,False,False
U56,INC,10.0,C_SHARPE,W,0.45,False,0.15189868463068867,1.0786022885062525,-0.19615027522245188,-0.10707541569544343,-0.19828010895257298,0.20476214145153893,False,True
U56,INC,10.0,C_MEMO,D,0.60,False,0.1658411367064847,1.089255069047997,-0.2313086525758663,-0.09642263515369898,-0.18762732841082852,0.21541492199328338,False,False
U56,INC,10.0,C_ANCHOR,W,0.60,False,0.17323365236641464,1.185677704201696,-0.19127562163086187,0.0,-0.09120469325712954,0.31183755714698236,False,True
U56,INC,25.0,C_SHARPE,W,0.45,False,0.14694157406014474,1.0475167173315771,-0.19697895802273457,-0.10713135880184499,-0.19251935358101813,0.17367657027686356,False,True
U56,INC,25.0,C_MEMO,W,0.60,True,0.16805521021708936,1.1546480761334221,-0.19202939307160527,0.0,-0.08538799477917314,0.28080792907870855,False,True
