panel,c,G,gross_ratio,dSharpe_F,dSharpe_OOS,dCAGR_F,dCAGR_OOS,dMaxDD_F,turn_ratio,gross_move,restates
B136,0.0,0.5,0.7089766953069359,0.03666837876037343,0.05960465612467303,-0.02548732453250313,-0.026842919745740934,0.052264874696452135,0.42112805766204325,0.29102330469306414,True
B136,0.0,0.75,0.7090452269165174,0.036092865476629266,0.059083357475244735,-0.03825754266047121,-0.040242073189992844,0.07506432628244197,0.4237896170928734,0.2909547730834826,True
B136,0.0,1.0,0.7091059395646104,0.03546145535626577,0.058519319779734236,-0.05095693692372549,-0.05352205484349093,0.09571829933760767,0.42740085257060173,0.29089406043538957,True
B136,0.03,0.5,0.7093007550014767,0.036563069167682816,0.04079603521031716,-0.02444771113258648,-0.026460763891624772,0.04368437922770074,0.41696762586118397,0.2906992449985233,True
B136,0.03,0.75,0.7093585707716593,0.036077287521329104,0.04022765316456445,-0.036716400613935996,-0.039736314434078546,0.06288056618810567,0.4189460425646983,0.2906414292283407,True
B136,0.03,1.0,0.7094092388192114,0.03557516728046006,0.03965444915493577,-0.04892381562676662,-0.05293875704459228,0.08036148807840005,0.42211229056369204,0.29059076118078864,True
B136,0.05,0.5,0.7014457847606931,0.013439022878967366,-0.002358218163672543,-0.02623168223387684,-0.02991947275916873,0.044310863312648774,0.4244824323436594,0.2985542152393069,True
B136,0.05,0.75,0.701502799615401,0.013098170116134344,-0.0028321166054776636,-0.0394209730013626,-0.04503820430041605,0.06348911947940783,0.4259080591862543,0.29849720038459904,True
B136,0.05,1.0,0.7015524665486889,0.01277389793366468,-0.003280615053719238,-0.05255441425793883,-0.060145161070595865,0.08075444697037726,0.42840718826328794,0.29844753345131114,True
B136,0.08,0.5,0.7052284608781403,0.015874130936504027,-0.0018923747926697931,-0.026489290424662082,-0.029907443352200413,0.04138337643549106,0.45065195314242085,0.2947715391218597,True
B136,0.08,0.75,0.705288582222166,0.015500020699319217,-0.0022736429782401757,-0.03986441679398034,-0.04500171443064516,0.058792604867526244,0.45165170110943703,0.29471141777783405,True
B136,0.08,1.0,0.7053414513515964,0.015164966176569594,-0.0026088603297214075,-0.05321467958399695,-0.06005955314935152,0.07412165873328969,0.45355485937132295,0.2946585486484036,True
B136,0.1,0.5,0.7125018448753905,-0.027104091268882247,-0.04213329142343647,-0.0288565883126497,-0.032116073535232825,0.04019970509137316,0.4709603532932318,0.2874981551246095,True
