panel,c,G,f4a_F,f4b_F,f4b_OOS
B136,0.0,0.5,False,False,False
B136,0.0,0.75,False,True,True
B136,0.0,1.0,False,False,False
B136,0.03,0.5,False,False,False
B136,0.03,0.75,False,True,True
B136,0.03,1.0,False,True,False
B136,0.05,0.5,False,False,False
B136,0.05,0.75,False,True,True
B136,0.05,1.0,False,True,False
B136,0.08,0.5,False,False,False
B136,0.08,0.75,False,False,False
B136,0.08,1.0,False,True,True
B136,0.1,0.5,False,False,False
B136,0.1,0.75,False,False,False
B136,0.1,1.0,False,True,True
SMALL,0.0,0.5,False,False,False
SMALL,0.0,0.75,False,False,False
SMALL,0.0,1.0,False,False,False
SMALL,0.03,0.5,False,False,False
SMALL,0.03,0.75,False,False,False
SMALL,0.03,1.0,False,False,False
SMALL,0.05,0.5,True,False,False
SMALL,0.05,0.75,False,False,False
SMALL,0.05,1.0,False,False,False
SMALL,0.08,0.5,False,False,False
SMALL,0.08,0.75,False,False,False
SMALL,0.08,1.0,False,False,False
SMALL,0.1,0.5,False,False,False
SMALL,0.1,0.75,False,False,False
SMALL,0.1,1.0,False,False,False
U56,0.0,0.5,False,False,False
U56,0.0,0.75,False,True,True
U56,0.0,1.0,False,True,True
U56,0.03,0.5,False,False,False
U56,0.03,0.75,False,True,True
U56,0.03,1.0,False,True,True
U56,0.05,0.5,False,False,False
U56,0.05,0.75,False,True,True
U56,0.05,1.0,False,True,True
U56,0.08,0.5,False,False,False
U56,0.08,0.75,False,True,True
U56,0.08,1.0,False,True,True
U56,0.1,0.5,False,False,False
U56,0.1,0.75,False,True,True
U56,0.1,1.0,False,True,True
