panel,arm,chooser,src,t,L,d,isSharpe,oCAGR,oSharpe,oMaxDD,keep4b_oos,keep4a_oos,twoSharpe,twoMaxDD,tw_keep4b_oos
U56,FIXEDCONV,C_ISSHARPE,SPY,0.2,20,0,1.1888750841071547,0.1623390027467544,1.1955380459272924,-0.20909222251550397,False,False,1.1265349774939393,-0.2795537110204783,False
U56,FIXEDCONV,C_ISLEGS,PANEL,0.12,20,0,1.13393336716915,0.14555958304369598,1.2728200934474183,-0.16439946738894284,True,False,1.1266957381051261,-0.25571053232948104,False
U56,FIXEDCONV,C_ISDD,SPY,0.08,20,0,0.9924466872749607,0.10177869667202377,1.2569283572424281,-0.12068017839674106,False,False,1.1269128872169403,-0.19772526143487623,True
U56,FIXEDCONV,C_MEMO,PANEL,0.16,20,0,1.1822153880168567,0.15939920336045454,1.2195762430656825,-0.19861405013202704,True,False,1.126572530635112,-0.2745707827163564,False
U56,FREECONV,C_ISSHARPE,SPY,0.2,20,1,1.1939963500375155,0.1602097691031874,1.176097518118987,-0.21261767572203738,False,False,1.1265382413560263,-0.2791318443821732,False
U56,FREECONV,C_ISLEGS,BLEND,0.16,40,0,1.178185089859213,0.15515023243331605,1.1937878005934346,-0.1968400205926265,True,False,1.1265978749799177,-0.27102350832972033,False
U56,FREECONV,C_ISDD,SPY,0.08,20,1,0.9998739341265381,0.09891748526628419,1.204074784541093,-0.1270288986314272,False,False,1.12691302109744,-0.19765447051314988,True
U56,FREECONV,C_MEMO,PANEL,0.16,20,1,1.1896653863293432,0.1576191122006143,1.2011689884537158,-0.20770907010661444,False,False,1.1265756397011315,-0.27414398845128285,False
U56,SRC=PANEL,C_ISSHARPE,PANEL,0.16,20,0,1.1822153880168567,0.15939920336045454,1.2195762430656825,-0.19861405013202704,True,False,1.126572530635112,-0.2745707827163564,False
U56,SRC=PANEL,C_ISDD,PANEL,0.08,20,0,1.034085789481923,0.11377229721251836,1.2999444284615425,-0.12278422663715616,True,False,1.126884100720546,-0.21042735282279879,False
U56,SRC=SPY,C_ISSHARPE,SPY,0.2,20,0,1.1888750841071547,0.1623390027467544,1.1955380459272924,-0.20909222251550397,False,False,1.1265349774939393,-0.2795537110204783,False
U56,SRC=SPY,C_ISDD,SPY,0.08,20,0,0.9924466872749607,0.10177869667202377,1.2569283572424281,-0.12068017839674106,False,False,1.1269128872169403,-0.19772526143487623,True
U56,SRC=BLEND,C_ISSHARPE,BLEND,0.16,20,0,1.1848940241640147,0.15566549692510345,1.2207381536287158,-0.19778897271148033,True,False,1.1265937441253986,-0.2716122752667749,False
U56,SRC=BLEND,C_ISDD,BLEND,0.08,20,0,1.0141970477008786,0.10728315541388844,1.277770691471664,-0.12187350517923334,True,False,1.1269003962041857,-0.20376766779019095,False
B136,FIXEDCONV,C_ISSHARPE,SPY,0.2,20,0,1.2380399849971901,0.16113960337609745,1.1779150164410845,-0.19913975317928,True,False,1.085981141728123,-0.3137543353776685,False
B136,FIXEDCONV,C_ISLEGS,SPY,0.12,20,0,1.1623658934127323,0.13290336514670464,1.2408236801113859,-0.15104208832083954,True,False,1.0867981170922947,-0.27644871879603106,False
B136,FIXEDCONV,C_ISDD,SPY,0.08,20,0,1.0756998583612079,0.10046517337690375,1.239401762372439,-0.10230398490058357,False,True,1.087755799611382,-0.2230948395823239,False
B136,FIXEDCONV,C_MEMO,PANEL,0.16,20,0,1.2301412002037837,0.15363121068308483,1.1839193698090225,-0.1875546234937404,True,False,1.0861312209736032,-0.30734168211529855,False
B136,FREECONV,C_ISSHARPE,SPY,0.2,20,1,1.2423275022756883,0.15812079385640732,1.1535070710708395,-0.20522199346754688,False,False,1.0859921442031688,-0.3132900747735957,False
B136,FREECONV,C_ISLEGS,SPY,0.12,20,0,1.1623658934127323,0.13290336514670464,1.2408236801113859,-0.15104208832083954,True,False,1.0867981170922947,-0.27644871879603106,False
B136,FREECONV,C_ISDD,SPY,0.08,40,0,1.0803843281282415,0.09810566641910556,1.2156504730654547,-0.13115326302486907,False,False,1.0878807988119563,-0.21506957808897864,False
B136,FREECONV,C_MEMO,PANEL,0.16,20,1,1.2331009300886937,0.15143687790694127,1.1621405293880376,-0.1929870483771805,True,False,1.0861430527888178,-0.3068286402117315,False
B136,SRC=PANEL,C_ISSHARPE,PANEL,0.16,20,0,1.2301412002037837,0.15363121068308483,1.1839193698090225,-0.1875546234937404,True,False,1.0861312209736032,-0.30734168211529855,False
B136,SRC=PANEL,C_ISDD,PANEL,0.08,20,0,1.0734669073228675,0.10968134122053352,1.2447257281993467,-0.10857052373008091,True,True,1.0874806493858087,-0.23978710152484428,False
B136,SRC=SPY,C_ISSHARPE,SPY,0.2,20,0,1.2380399849971901,0.16113960337609745,1.1779150164410845,-0.19913975317928,True,False,1.085981141728123,-0.3137543353776685,False
B136,SRC=SPY,C_ISDD,SPY,0.08,20,0,1.0756998583612079,0.10046517337690375,1.239401762372439,-0.10230398490058357,False,True,1.087755799611382,-0.2230948395823239,False
B136,SRC=BLEND,C_ISSHARPE,BLEND,0.2,20,0,1.233040551325943,0.16291556574532784,1.174440250119456,-0.20176426032727668,True,False,1.0859421053319573,-0.31539454006834566,False
B136,SRC=BLEND,C_ISDD,BLEND,0.08,20,0,1.0754323109269144,0.1047005330425419,1.242270294027504,-0.10534173151885262,False,True,1.08762991893867,-0.23089376878732804,False
SMALL665,FIXEDCONV,C_ISSHARPE,SPY,0.2,20,0,1.0677345611183344,0.10265837499818264,0.6128545390031169,-0.3086107036297625,False,False,0.5963226412602622,-0.4264344812093369,False
SMALL665,FIXEDCONV,C_ISLEGS,SPY,0.2,20,0,1.0677345611183344,0.10265837499818264,0.6128545390031169,-0.3086107036297625,False,False,0.5963226412602622,-0.4264344812093369,False
SMALL665,FIXEDCONV,C_ISDD,PANEL,0.08,20,0,0.8265040236654989,0.02899304879525655,0.36995191583182563,-0.21868500894191056,False,False,0.5985860059091577,-0.24328624815592925,False
SMALL665,FIXEDCONV,C_MEMO,PANEL,0.16,20,0,1.02533009484894,0.05240265848239023,0.4021989244562806,-0.31399910438998513,False,False,0.5969511939989903,-0.383052046818361,False
SMALL665,FREECONV,C_ISSHARPE,SPY,0.2,10,0,1.0708411130801625,0.11121541896479203,0.6553518417720999,-0.2716387999276597,False,False,0.596325676361659,-0.42623488233283846,False
SMALL665,FREECONV,C_ISLEGS,SPY,0.2,10,0,1.0708411130801625,0.11121541896479203,0.6553518417720999,-0.2716387999276597,False,False,0.596325676361659,-0.42623488233283846,False
SMALL665,FREECONV,C_ISDD,PANEL,0.08,20,1,0.8275943758108553,0.02535691809389662,0.32887579811673395,-0.21918051522852122,False,False,0.5985908978020117,-0.2427866429605473,False
SMALL665,FREECONV,C_MEMO,PANEL,0.16,20,1,1.0281705235843503,0.04904014030373505,0.3814582988417744,-0.32195040743314607,False,False,0.5969566891429907,-0.3826531349135459,False
