panel,family,unbraked,dd_unbraked,age_unbraked,turn_unbraked,braked,dd_braked,age_braked,turn_braked,d_dd_pp,worst_rung,worst_dd,worst_d_pp,n_rungs_deeper,n_rungs
B136,F1_MINHOLD,H=1,-0.20055037479293059,37.58153493005796,14.30254434851472,H=756,-0.2535585812081028,535.6401629285882,1.4888763381713301,-5.300820641517223,H=63,-0.28700141615051933,-8.645104135758874,10,10
B136,F2_CAP,cap=inf/CONV,-0.20055037479293059,37.58153493005796,14.30254434851472,cap=0.05/CONV,-0.27825124816751523,152.86047890596714,2.6117805755395684,-7.770087337458465,cap=0.075/CONV,-0.2827819518264343,-8.22315770335037,12,13
B136,F3_CADxH,W/H=1,-0.20055037479293059,37.58153493005796,14.30254434851472,Q/H=252,-0.25444531423546646,152.83337682441396,1.4615065683776403,-5.389493944253587,W/H=63,-0.28700141615051933,-8.645104135758874,11,11
B136,F4_HYST,Kout=20,-0.20055037479293059,37.58153493005796,14.30254434851472,Kout=80,-0.20493327698520458,104.63938889687383,4.419300807243271,-0.43829021922739964,Kout=50,-0.21319491132683188,-1.2644536533901296,4,6
SMALL,F1_MINHOLD,H=1,-0.3283161961508029,18.0191400720628,21.524546882252604,H=756,-0.43992037610791834,395.75690709046455,2.367679024966158,-11.160417995711548,H=756,-0.43992037610791834,-11.160417995711548,10,10
SMALL,F2_CAP,cap=inf/CONV,-0.3283161961508029,18.0191400720628,21.524546882252604,cap=0.05/CONV,-0.3731730924618777,127.64871325450865,2.6139487699721027,-4.485689631107482,cap=0.05/CONV,-0.3731730924618777,-4.485689631107482,9,13
SMALL,F3_CADxH,W/H=1,-0.3283161961508029,18.0191400720628,21.524546882252604,Q/H=252,-0.3951653145201075,122.70645161290321,1.6883050165415514,-6.684911836930462,Q/H=63,-0.45138166171047533,-12.306546555967246,11,11
SMALL,F4_HYST,Kout=20,-0.3283161961508029,18.0191400720628,21.524546882252604,Kout=80,-0.32012671612769117,35.03429899626818,10.561926720680178,0.8189480023111706,Kout=20,-0.3283161961508029,0.0,0,6
U56,F1_MINHOLD,H=1,-0.18179343750695742,66.29768096757655,10.796982071733346,H=756,-0.24238039022133195,674.3631280487764,1.387371191516209,-6.058695271437453,H=63,-0.25538540704386126,-7.359196953690383,10,10
U56,F2_CAP,cap=inf/CONV,-0.18179343750695742,66.29768096757655,10.796982071733346,cap=0.05/CONV,-0.24150697916755448,187.89852922765184,2.6117805755395684,-5.971354166059706,cap=0.05/CONV,-0.24150697916755448,-5.971354166059706,12,13
U56,F3_CADxH,W/H=1,-0.18179343750695742,66.29768096757655,10.796982071733346,Q/H=252,-0.20202578116695746,202.9707005609262,1.3031818800580193,-2.023234366000004,Q/H=1,-0.2716817209632464,-8.988828345628896,11,11
U56,F4_HYST,Kout=20,-0.18179343750695742,66.29768096757655,10.796982071733346,Kout=80,-0.1526515306340528,147.10270635357136,4.776861361829852,2.9141906872904633,Kout=20,-0.18179343750695742,0.0,0,6
