panel,variant,chooser,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
U56,charged,C_ISSHARPE pick,IEF,1.2972690130455031,0.09851584946078895,1.199738039358161,-0.1805854106803476
U56,charged,zero-parameter SHY,SHY,1.1531545856802459,0.10143895444270346,1.355828777006949,-0.11482603531722779
U56,charged,control NONE,NONE,1.1042710247053533,0.09455896847608769,1.2767122316543114,-0.12054941914043871
U56,charged,SPY,SPY,0.8986378759173647,0.15286966214114894,0.8750760816641813,-0.33717256724185307
U56,mmf,C_ISSHARPE pick,IEF,1.3124642426180182,0.09962084647787228,1.2121595070795057,-0.17958672307234957
U56,mmf,zero-parameter SHY,SHY,1.1688379756082226,0.10253905066093161,1.3695270617696358,-0.11467643734737265
U56,mmf,control NONE,NONE,1.1042710247053533,0.09455896847608769,1.2767122316543114,-0.12054941914043871
U56,mmf,SPY,SPY,0.8986378759173647,0.15286966214114894,0.8750760816641813,-0.33717256724185307
B136,charged,C_ISSHARPE pick,IEF,1.295291021242501,0.08252052918846764,1.0454533325065334,-0.1968774872079483
B136,charged,zero-parameter SHY,SHY,1.1383269430751768,0.08571583291463436,1.1908018472878297,-0.11647411525582985
B136,charged,control NONE,NONE,1.092172960863223,0.07847283605551292,1.1016867720596069,-0.12241069123223403
B136,charged,SPY,SPY,0.8986624857599308,0.15257181383948715,0.8736721309012504,-0.3371595330739301
B136,mmf,C_ISSHARPE pick,IEF,1.3095520325941061,0.08362147629145467,1.0583080742181616,-0.19598992031030404
B136,mmf,zero-parameter SHY,SHY,1.1527039495101947,0.08681160314976988,1.20496208606417,-0.1162618680626869
B136,mmf,control NONE,NONE,1.092172960863223,0.07847283605551292,1.1016867720596069,-0.12241069123223403
B136,mmf,SPY,SPY,0.8986624857599308,0.15257181383948715,0.8736721309012504,-0.3371595330739301
