arm,panel,cost_bps,chooser,imposed_lag,pick_lag,pick_gross,pick_turnover_yr,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,full4b,pick_is_t1,beats_spy_oos,beats_base_oos
WF-A,U56,0.0,C_ISSHARPE,,3,0.75,3.536879067492393,0.1315338198952467,1.3329767157039523,-0.17192636900601732,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-A,U56,0.0,C_ISCALMAR,,1,0.75,3.5063829420832278,0.13168913356431755,1.3693466954314062,-0.14765004422980454,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,True
WF-A,U56,10.0,C_ISSHARPE,,3,0.75,3.536879067492393,0.1275610958772977,1.296584720639196,-0.17240392351712674,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-A,U56,10.0,C_ISCALMAR,,1,0.75,3.5063829420832278,0.12773946456006335,1.3318413815124672,-0.14809080759214632,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,True
WF-A,U56,25.0,C_ISSHARPE,,3,0.75,3.536879067492393,0.12162703706052325,1.2418557609959178,-0.17312001555139456,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-A,U56,25.0,C_ISCALMAR,,1,0.75,3.5063829420832278,0.12183969460699817,1.2754689637891052,-0.14875179387181792,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,False
WF-A,U56,50.0,C_ISSHARPE,,3,0.75,3.536879067492393,0.11180332002709648,1.1503119531224089,-0.17431286312402416,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
WF-A,U56,50.0,C_ISCALMAR,,3,0.75,3.536879067492393,0.11180332002709648,1.1503119531224089,-0.17431286312402416,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
WF-B,U56,0.0,C_ISSHARPE,1.0,1,0.75,3.5063829420832278,0.13168913356431755,1.3693466954314062,-0.14765004422980454,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,True
WF-B,U56,0.0,C_ISCALMAR,1.0,1,0.75,3.5063829420832278,0.13168913356431755,1.3693466954314062,-0.14765004422980454,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,True
WF-B,U56,0.0,C_ISSHARPE,2.0,2,0.75,3.53573793509579,0.12728331389037129,1.2982463412362057,-0.17347208830825,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,0.0,C_ISCALMAR,2.0,2,0.75,3.53573793509579,0.12728331389037129,1.2982463412362057,-0.17347208830825,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,0.0,C_ISSHARPE,3.0,3,0.75,3.536879067492393,0.1315338198952467,1.3329767157039523,-0.17192636900601732,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,0.0,C_ISCALMAR,3.0,3,0.75,3.536879067492393,0.1315338198952467,1.3329767157039523,-0.17192636900601732,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,0.0,C_ISSHARPE,5.0,5,0.75,3.571542189923725,0.13104044349719346,1.3063239194012097,-0.17648490886579216,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,0.0,C_ISCALMAR,5.0,5,0.75,3.571542189923725,0.13104044349719346,1.3063239194012097,-0.17648490886579216,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,10.0,C_ISSHARPE,1.0,1,0.75,3.5063829420832278,0.12773946456006335,1.3318413815124672,-0.14809080759214632,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,True
WF-B,U56,10.0,C_ISCALMAR,1.0,1,0.75,3.5063829420832278,0.12773946456006335,1.3318413815124672,-0.14809080759214632,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,True
WF-B,U56,10.0,C_ISSHARPE,2.0,2,0.75,3.53573793509579,0.12331859083171826,1.2616836394802098,-0.17457748163026066,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,10.0,C_ISCALMAR,2.0,2,0.75,3.53573793509579,0.12331859083171826,1.2616836394802098,-0.17457748163026066,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,10.0,C_ISSHARPE,3.0,3,0.75,3.536879067492393,0.1275610958772977,1.296584720639196,-0.17240392351712674,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,10.0,C_ISCALMAR,3.0,3,0.75,3.536879067492393,0.1275610958772977,1.296584720639196,-0.17240392351712674,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,True
WF-B,U56,10.0,C_ISSHARPE,5.0,5,0.75,3.571542189923725,0.12702618845117897,1.2700058132823164,-0.17701962436956675,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,10.0,C_ISCALMAR,5.0,5,0.75,3.571542189923725,0.12702618845117897,1.2700058132823164,-0.17701962436956675,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,25.0,C_ISSHARPE,1.0,1,0.75,3.5063829420832278,0.12183969460699817,1.2754689637891052,-0.14875179387181792,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,False
WF-B,U56,25.0,C_ISCALMAR,1.0,1,0.75,3.5063829420832278,0.12183969460699817,1.2754689637891052,-0.14875179387181792,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,True,True,False
WF-B,U56,25.0,C_ISSHARPE,2.0,2,0.75,3.53573793509579,0.11739654101784192,1.2066982086661409,-0.17623398535347568,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,25.0,C_ISCALMAR,2.0,2,0.75,3.53573793509579,0.11739654101784192,1.2066982086661409,-0.17623398535347568,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,25.0,C_ISSHARPE,3.0,3,0.75,3.536879067492393,0.12162703706052325,1.2418557609959178,-0.17312001555139456,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,25.0,C_ISCALMAR,3.0,3,0.75,3.536879067492393,0.12162703706052325,1.2418557609959178,-0.17312001555139456,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,25.0,C_ISSHARPE,5.0,5,0.75,3.571542189923725,0.1210303594897515,1.2154126597400712,-0.1778213636763244,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,25.0,C_ISCALMAR,5.0,5,0.75,3.571542189923725,0.1210303594897515,1.2154126597400712,-0.1778213636763244,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,True,False,True,False
WF-B,U56,50.0,C_ISSHARPE,1.0,1,0.75,3.5063829420832278,0.1120723488705766,1.181260845927782,-0.14985301432639253,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,True,True,False
WF-B,U56,50.0,C_ISCALMAR,1.0,1,0.75,3.5063829420832278,0.1120723488705766,1.181260845927782,-0.14985301432639253,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,True,True,False
WF-B,U56,50.0,C_ISSHARPE,2.0,2,0.75,3.53573793509579,0.10759285806079144,1.114725942528234,-0.17899059718235788,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
WF-B,U56,50.0,C_ISCALMAR,2.0,2,0.75,3.53573793509579,0.10759285806079144,1.114725942528234,-0.17899059718235788,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
WF-B,U56,50.0,C_ISSHARPE,3.0,3,0.75,3.536879067492393,0.11180332002709648,1.1503119531224089,-0.17431286312402416,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
WF-B,U56,50.0,C_ISCALMAR,3.0,3,0.75,3.536879067492393,0.11180332002709648,1.1503119531224089,-0.17431286312402416,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
