panel,cost_bps,chooser,ctrl_pick_gross,ctrl_OOS_Sharpe,n_deletions,n_pick_g075,n_OOS_beats_SPY,n_pass4b,med_OOS_Sharpe,min_OOS_Sharpe,med_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_CAGR,base_OOS_Sharpe,base_OOS_CAGR
U56,0.0,C_ISSHARPE,0.75,1.2803390722324455,56,56,56,56,1.2823857344317928,1.220529253773776,0.14433626835328672,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
U56,0.0,C_ISCALMAR,0.75,1.2803390722324455,56,56,56,56,1.2823857344317928,1.220529253773776,0.14433626835328672,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
U56,10.0,C_ISSHARPE,0.75,1.2397071765466103,56,56,56,56,1.2413769468212683,1.1793355398043184,0.13930829604939965,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
U56,10.0,C_ISCALMAR,0.75,1.2397071765466103,56,56,56,56,1.2413769468212683,1.1793355398043184,0.13930829604939965,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
U56,25.0,C_ISSHARPE,0.75,1.178665567851114,56,56,56,56,1.1800150783845773,1.117452024161866,0.13178584767254997,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
U56,25.0,C_ISCALMAR,0.75,1.178665567851114,56,56,56,56,1.1800150783845773,1.117452024161866,0.13178584767254997,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
U56,50.0,C_ISSHARPE,0.75,1.0767540132346374,56,56,56,35,1.0782788326913568,1.0141453127516127,0.11943273652824138,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
U56,50.0,C_ISCALMAR,0.75,1.0767540132346374,56,56,56,35,1.0782788326913568,1.0141453127516127,0.11943273652824138,0.8831406547160487,0.15454794790057602,1.2839355379722956,0.0951245058604564
B136,0.0,C_ISSHARPE,0.75,1.1445513632064948,136,136,136,136,1.145450149883895,1.1252315508992656,0.12871141066605118,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
B136,0.0,C_ISCALMAR,0.75,1.1445513632064948,136,136,136,136,1.145450149883895,1.1252315508992656,0.12871141066605118,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
B136,10.0,C_ISSHARPE,0.75,1.099409263888879,136,136,136,136,1.1003652357000142,1.0795415883588517,0.12311641022989828,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
B136,10.0,C_ISCALMAR,0.75,1.099409263888879,136,136,136,136,1.1003652357000142,1.0795415883588517,0.12311641022989828,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
B136,25.0,C_ISSHARPE,0.75,1.031598494019004,136,136,136,136,1.0325914453427174,1.0107306047204552,0.11476370491571941,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
B136,25.0,C_ISCALMAR,0.75,1.031598494019004,136,136,136,136,1.0325914453427174,1.0107306047204552,0.11476370491571941,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
B136,50.0,C_ISSHARPE,0.75,0.9184149237563717,136,136,136,0,0.9195514619399986,0.8958755233480512,0.10097662912537209,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
B136,50.0,C_ISCALMAR,0.75,0.9184149237563717,136,136,136,0,0.9195514619399986,0.8958755233480512,0.10097662912537209,0.8736721309012504,0.15257181383948715,1.1016867720596069,0.07847283605551292
