gate,value,target,pass_
G8 exactly two tuned parameters,"MA length L, gross",2,True
G7 dropped-ticker rule bit (SMALL),54 names dropped (max_1d_move >= 1.0),>= 1,True
G0 >= 10y (U56),"17.7y, 56 investable, 4710 rows",>= 10y,True
G0 >= 10y (B136),"17.7y, 136 investable, 4708 rows",>= 10y,True
G0 >= 10y (SMALL),"15.7y, 665 investable, 4203 rows",>= 10y,True
G2 band_state_L(L=200) == baseline.band_state (live clause 2),0 differing cells,0,True
G1 per-column replica == engine.backtest,max|d| 0.000e+00,< 1e-12,True
"G3 L=200 book == RG100 + phi=1 (independent construction, U56)",max|dw| 4.441e-16,< 1e-12,True
G4 no leverage (all 30 books),max row sum 1.000000000,<= 1+1e-12,True
G6 sweep instrument priced on every held row,SHY non-null on all panels: True,True,True
G5 the L dial BITES (mean time-IN share varies along the ladder),"6 of 6 (panel, gross) cells move",6 of 6,True
"G5b end-to-end bite (mean share of priced names IN the band, L = 100 -> 300)",B136/g0.75 0.663->0.727  B136/g1.00 0.663->0.727  SMALL/g0.75 0.544->0.544  SMALL/g1.00 0.544->0.544  U56/g0.75 0.659->0.713  U56/g1.00 0.659->0.713,"published, not asserted",True
"G9 reproduces idea 2300's committed U56 headline (12.55%/1.1896/-17.39%, OOS 13.77%/1.2332)","read 12.59% / 1.1934 / -17.39%, OOS 13.85% / 1.2397 -> max|d| 8.25e-04",< 1e-3,True
