panel,kind,tol,S,cost,null_4a_share,null_4b_share
U56,ROT-COM,n/a,10,0,0.0,0.0
U56,ROT-COM,n/a,10,10,0.0,0.0
U56,ROT-COM,n/a,10,25,0.0,0.0
U56,ROT-COM,n/a,10,50,0.0,0.0
U56,ROT-COM,n/a,25,0,0.04,0.04
U56,ROT-COM,n/a,25,10,0.04,0.04
U56,ROT-COM,n/a,25,25,0.04,0.04
U56,ROT-COM,n/a,25,50,0.04,0.04
U56,ROT-COM,n/a,50,0,0.02,0.08
U56,ROT-COM,n/a,50,10,0.02,0.08
U56,ROT-COM,n/a,50,25,0.02,0.08
U56,ROT-COM,n/a,50,50,0.02,0.06
U56,ROT-IND,n/a,10,0,0.0,0.1
U56,ROT-IND,n/a,10,10,0.0,0.0
U56,ROT-IND,n/a,10,25,0.0,0.0
U56,ROT-IND,n/a,10,50,0.0,0.0
U56,ROT-IND,n/a,25,0,0.0,0.04
U56,ROT-IND,n/a,25,10,0.0,0.0
U56,ROT-IND,n/a,25,25,0.0,0.0
U56,ROT-IND,n/a,25,50,0.0,0.0
U56,ROT-IND,n/a,50,0,0.0,0.02
U56,ROT-IND,n/a,50,10,0.0,0.0
U56,ROT-IND,n/a,50,25,0.0,0.0
U56,ROT-IND,n/a,50,50,0.0,0.0
U56,IID,0.005,10,0,0.0,0.0
U56,IID,0.005,10,10,0.0,0.0
U56,IID,0.005,10,25,0.0,0.0
U56,IID,0.005,10,50,0.0,0.0
U56,IID,0.005,25,0,0.0,0.0
U56,IID,0.005,25,10,0.0,0.0
U56,IID,0.005,25,25,0.0,0.0
U56,IID,0.005,25,50,0.0,0.0
U56,IID,0.005,50,0,0.0,0.0
U56,IID,0.005,50,10,0.0,0.0
U56,IID,0.005,50,25,0.0,0.0
U56,IID,0.005,50,50,0.0,0.0
U56,IID,0.02,10,0,0.0,0.0
U56,IID,0.02,10,10,0.0,0.0
U56,IID,0.02,10,25,0.0,0.0
U56,IID,0.02,10,50,0.0,0.0
U56,IID,0.02,25,0,0.0,0.04
