cik,ticker,name,sic,sic_desc,exchange,price,mktcap,ev,ev_ebit,fcf,fcf_yield,roic,rev_growth,net_debt,net_debt_ebit,share_chg,share_chg_src,rev_growth_note,mom_12_1,r6m,off_52w_high,adv20,revenue,revenue_prior,ebit,net_income,cfo,capex,equity,ltd,cash,shares,shares_py,capex_missing,ltd_missing,ltd_tag,debt_note,eq_flag,revenue_period,ebit_period,equity_period,shares_period,shares_py_period,r_fcf_yield,r_ev_ebit,r_roic,r_rev_growth,r_buyback,score,why
1985273,TOYO,"TOYO Co., Ltd",3674,Semiconductors & Related Devices,"Nasdaq,OTC",4.239999771118164,160098138.63765144,101238112.63765144,1.7148147074230273,41235855.0,0.25756611132955587,0.8901457438271536,1.4151782289323775,-58860026.0,-0.9969964436749429,-0.18964706711512247,dei:EntityCommonStockSharesOutstanding,,0.004226558838319905,-0.512082856633332,-0.7504414462485236,3988248.0164265633,427383003.0,176957128.0,59037348.0,39659898.0,132987931.0,91752076.0,111255384.0,0.0,58860026.0,37758997.0,46595743.0,False,True,none,"debt data missing (net cash unverified) — no long-term-debt concept was tagged in any XBRL frame, so LTD was filled with 0: EV is understated, ROIC overstated, and any negative net debt is an artefact of that fill rather than a confirmed debt-free balance sheet",,CY2025,CY2025,CY2025Q4I,CY2025Q4I,CY2024Q4I,0.9445945945945946,0.9963963963963964,0.9865470852017937,0.9877883310719131,0.9836956521739131,0.9298044118877222,top-quartile FCF yield 25.8%; cheap at 1.7x EV/EBIT; high ROIC 89.0%; revenue +141.5%; buying back stock -19.0%; debt data missing (net cash unverified); 12-1 momentum 0.4%; WARNING 6m return below -40%
1157408,LRN,"Stride, Inc.",8200,Services-Educational Services,NYSE,82.04000091552734,3409569721.8491745,3073063721.8491745,8.534059778416676,431035000.0,0.12641917753957202,0.21953172616939196,0.17903708158890708,-336506000.0,-0.9344948818919504,-0.04738074456366059,dei:EntityCommonStockSharesOutstanding,,-0.4030480567806901,-0.0578778228014456,-0.4656418838805447,50142039.09248352,2405317000.0,2040069000.0,360094000.0,287941000.0,432816000.0,1781000.0,1632329000.0,417995000.0,754501000.0,41559845.0,43626921.0,False,False,LongTermDebtNoncurrent,long-term debt from us-gaap:LongTermDebtNoncurrent,,CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q2I,0.8189189189189189,0.8648648648648649,0.8804185351270553,0.8018995929443691,0.8505434782608696,0.8433290780232156,top-quartile FCF yield 12.6%; cheap at 8.5x EV/EBIT; high ROIC 22.0%; revenue +17.9%; buying back stock -4.7%; net cash
1345016,YELP,YELP INC,7200,Services-Personal Services,NYSE,20.760000228881836,1126512784.3799572,1132370784.3799572,6.136812527462767,323676000.0,0.2873256340167983,0.22413122996379067,0.03745651755161239,5858000.0,0.03174706401981346,-0.13950115170862087,dei:EntityCommonStockSharesOutstanding,,-0.2671537474493453,-0.14673241701681106,-0.38634350856508304,23707182.59405136,1464955000.0,1412064000.0,184521000.0,145600000.0,372029000.0,48353000.0,644527000.0,100000000.0,94142000.0,54263621.0,63060655.0,False,False,LongTermLineOfCredit,long-term debt from us-gaap:LongTermLineOfCredit,,CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q2I,0.9635135135135136,0.9333333333333333,0.8863976083707026,0.4491180461329715,0.96875,0.8402225002701043,top-quartile FCF yield 28.7%; cheap at 6.1x EV/EBIT; high ROIC 22.4%; buying back stock -14.0%
1341170,ESEA,EUROSEAS LTD.,4412,Deep Sea Foreign Transportation of  Freight,Nasdaq,74.37999725341797,524816409.40044403,546015807.400444,3.652293988608798,141133485.0,0.2689197259689963,0.24369379354834012,0.07034494136616942,21199398.0,0.1418025500876047,0.0011839597294771576,dei:EntityCommonStockSharesOutstanding,,0.2559675072190979,0.10959465699272264,-0.05295159978438413,2380000.9650421143,227873562.0,212897313.0,149499413.0,136967379.0,141133485.0,,463443787.0,197659451.0,176460053.0,7055881.0,7047537.0,True,False,LongTermDebtNoncurrent,long-term debt from us-gaap:LongTermDebtNoncurrent,,CY2025,CY2025,CY2025Q4I,CY2025Q4I,CY2024Q4I,0.95,0.972972972972973,0.9013452914798207,0.5522388059701493,0.5625,0.8378114140845887,top-quartile FCF yield 26.9%; cheap at 3.7x EV/EBIT; high ROIC 24.4%; 12-1 momentum 25.6%
1376339,MDXG,"MIMEDX GROUP, INC.",3841,Surgical & Medical Instruments & Apparatus,Nasdaq,4.730000019073486,689447016.4201603,569314016.4201603,8.911265459642186,74003000.0,0.10733674704148892,0.5264496714300615,0.1999289151826278,-120133000.0,-1.8803982030773083,-0.014861832112124551,dei:EntityCommonStockSharesOutstanding,,-0.3988521975112931,0.0848623564744806,-0.40577889492390073,4524941.804141998,418630000.0,348879000.0,63887000.0,48578000.0,74003000.0,,216003000.0,15706000.0,135839000.0,145760468.0,147959416.0,True,False,LongTermDebtNoncurrent,long-term debt from us-gaap:LongTermDebtNoncurrent,,CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q2I,0.7743243243243243,0.854054054054054,0.9671150971599403,0.8263229308005428,0.7133152173913043,0.8270263247460331,top-quartile FCF yield 10.7%; cheap at 8.9x EV/EBIT; high ROIC 52.6%; revenue +20.0%; net cash
1479681,NUTX,Nutex Health Inc.,7389,"Services-Business Services, NEC",Nasdaq,217.3249969482422,1488235711.326645,1314132711.326645,4.767828431117079,245599000.0,0.16502694978409557,0.9887869925935344,0.8236458457044393,-174103000.0,-0.6316662131519274,0.1508155815800889,dei:EntityCommonStockSharesOutstanding,"share count +15.1% yoy — growth may be acquisition/issuance-driven, not organic",0.9695797245378737,1.3117220722249874,0.0,29646616.460342407,875257000.0,479949000.0,275625000.0,70789000.0,248125000.0,2526000.0,394316000.0,31105000.0,205208000.0,6847973.0,5950539.0,False,False,LongTermDebtNoncurrent,long-term debt from us-gaap:LongTermDebtNoncurrent,"revenue growth above 50% alongside share count growth above 15% (bought, not organic)",CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q1I,0.8797297297297297,0.9603603603603603,0.9910313901345291,0.9755766621438263,0.07336956521739135,0.8260135415171673,"top-quartile FCF yield 16.5%; cheap at 4.8x EV/EBIT; high ROIC 98.9%; revenue +82.4% BUT share count +15.1% yoy — growth may be acquisition/issuance-driven, not organic; net cash; 12-1 momentum 97.0%; EARNINGS QUALITY: revenue growth above 50% alongside share count growth above 15% (bought, not organic) — one-off items likely"
1084048,ZD,"ZIFF DAVIS, INC.",4822,Telegraph & Other Message Communications,Nasdaq,58.75,2014373470.0,1126964470.0,6.155383098653092,287870000.0,0.14290795837377665,0.10713532619927128,0.03537163762549156,-887409000.0,-4.846951705755765,-0.163785842187808,dei:EntityCommonStockSharesOutstanding,,0.48185536458824485,0.38757675456477547,-0.0077689426040421505,30872014.62835312,1451268000.0,1401688000.0,183086000.0,47354000.0,407068000.0,119198000.0,2237458000.0,718703000.0,1606112000.0,34287208.0,41002903.0,False,False,LongTermDebtNoncurrent,long-term debt from us-gaap:LongTermDebtNoncurrent,,CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q2I,0.8554054054054054,0.9315315315315316,0.6786248131539612,0.4314789687924016,0.9755434782608695,0.8245168394288339,top-quartile FCF yield 14.3%; cheap at 6.2x EV/EBIT; buying back stock -16.4%; net cash; 12-1 momentum 48.2%
1046568,PRDO,PERDOCEO EDUCATION Corp,8200,Services-Educational Services,Nasdaq,33.27000045776367,2081938648.4955025,1919049648.4955025,9.791069635181135,225240000.0,0.10818762606802464,0.17787069797362495,0.2419520801804882,-162889000.0,-0.8310663265306123,-0.03658507127088795,dei:EntityCommonStockSharesOutstanding,,-0.06984221530614054,-0.043102633913313926,-0.11471241933827037,17931031.360416412,846096000.0,681263000.0,196000000.0,159900000.0,225240000.0,,1033409000.0,0.0,162889000.0,62577055.0,64953379.0,True,True,none,"debt data missing (net cash unverified) — no long-term-debt concept was tagged in any XBRL frame, so LTD was filled with 0: EV is understated, ROIC overstated, and any negative net debt is an artefact of that fill rather than a confirmed debt-free balance sheet",,CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q2I,0.7756756756756756,0.818018018018018,0.8445440956651719,0.864314789687924,0.811141304347826,0.8227387766789231,top-quartile FCF yield 10.8%; cheap at 9.8x EV/EBIT; high ROIC 17.8%; revenue +24.2%; buying back stock -3.7%; debt data missing (net cash unverified)
874499,GPOR,GULFPORT ENERGY CORP,1311,Crude Petroleum & Natural Gas,NYSE,162.25,2869207258.5,3790410258.5,6.312889322378853,803193000.0,0.2799355109745203,0.17258101850588525,0.4847479102544432,921203000.0,1.5342541270835277,0.0069550119339081284,dei:EntityCommonStockSharesOutstanding,,-0.015270218250390988,-0.1876126626861795,-0.27075375974591775,43404983.74191284,1422583000.0,958131000.0,600424000.0,428000000.0,803193000.0,,1827274000.0,922257000.0,1054000.0,17683866.0,17561724.0,True,False,LongTermDebtNoncurrent,long-term debt from us-gaap:LongTermDebtNoncurrent,,CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q2I,0.9581081081081081,0.9279279279279279,0.8325859491778774,0.9525101763907734,0.4225543478260869,0.8187373018861546,top-quartile FCF yield 28.0%; cheap at 6.3x EV/EBIT; high ROIC 17.3%; revenue +48.5%
1410098,CRMD,CorMedix Inc.,2834,Pharmaceutical Preparations,Nasdaq,7.820000171661377,609524627.06003,352832627.06003,2.3500085057381392,172786000.0,0.28347665103116976,0.5810267903066998,6.1703395288921605,-256692000.0,-1.709672907466981,0.044144360315006015,dei:EntityCommonStockSharesOutstanding,,-0.39367586501278673,0.2105263352141582,-0.38570302805465717,7851005.742959976,311709000.0,43472000.0,150141000.0,163055000.0,175046000.0,2260000.0,460833000.0,0.0,256692000.0,77944324.0,74648992.0,False,True,none,"debt data missing (net cash unverified) — no long-term-debt concept was tagged in any XBRL frame, so LTD was filled with 0: EV is understated, ROIC overstated, and any negative net debt is an artefact of that fill rather than a confirmed debt-free balance sheet",,CY2025,CY2025,CY2026Q2I,CY2026Q2I,CY2025Q2I,0.9608108108108108,0.990990990990991,0.9730941704035875,0.9986431478968792,0.15353260869565222,0.8154143457595842,top-quartile FCF yield 28.3%; cheap at 2.4x EV/EBIT; high ROIC 58.1%; revenue +617.0%; debt data missing (net cash unverified)
