filing_date,transaction_date,owner,relationship,security,table,code,acquired_disposed,shares,price,shares_owned_after,accession
2025-11-14,2025-11-12,Guo Jian,Director; Officer; Chief Financial Officer,Common Stock,non-derivative,P,A,1361,22.11,31062,0001213900-25-110853
2026-05-14,2026-03-11,Guo Jian,Director; Officer; Chief Financial Officer,Restricted Stock Units,derivative,A,A,28000,0,28000,0001213900-26-057056
2026-05-14,2026-03-11,Quire Daniel,Officer; Chief Revenue Officer,Restricted Stock Units,derivative,A,A,24000,0,24000,0001213900-26-057055
2026-05-14,2026-03-11,Yu Alan,Director; Officer; 10% Owner; Chief Executive Officer,Restricted Stock Units,derivative,A,A,32000,0,32000,0001213900-26-057053
2026-05-11,2026-05-07,Chen Eric K,Director,Common Stock,non-derivative,M,A,1000,,7000,0001213900-26-054688
2026-05-11,2026-05-07,Chen Eric K,Director,Restricted Stock Units,derivative,M,D,1000,0,0,0001213900-26-054688
2026-05-11,2026-05-07,Chen Paul Y,Director,Common Stock,non-derivative,M,A,1000,,7000,0001213900-26-054685
2026-05-11,2026-05-07,Chen Paul Y,Director,Restricted Stock Units,derivative,M,D,1000,0,0,0001213900-26-054685
2026-05-11,2026-05-07,Yen Eve,Director,Common Stock,non-derivative,M,A,1000,,8000,0001213900-26-054686
2026-05-11,2026-05-07,Yen Eve,Director,Restricted Stock Units,derivative,M,D,1000,0,0,0001213900-26-054686
2026-05-14,2026-05-12,Guo Jian,Director; Officer; Chief Financial Officer,Common Stock,non-derivative,M,A,8000,,39062,0001213900-26-057056
2026-05-14,2026-05-12,Guo Jian,Director; Officer; Chief Financial Officer,Restricted Stock Units,derivative,M,D,8000,0,0,0001213900-26-057056
2026-05-14,2026-05-12,Quire Daniel,Officer; Chief Revenue Officer,Common Stock,non-derivative,M,A,8000,,25696,0001213900-26-057055
2026-05-14,2026-05-12,Quire Daniel,Officer; Chief Revenue Officer,Restricted Stock Units,derivative,M,D,8000,0,0,0001213900-26-057055
2026-05-14,2026-05-12,Yu Alan,Director; Officer; 10% Owner; Chief Executive Officer,Common Stock,non-derivative,M,A,8000,,6099305,0001213900-26-057053
2026-05-14,2026-05-12,Yu Alan,Director; Officer; 10% Owner; Chief Executive Officer,Restricted Stock Units,derivative,M,D,8000,0,0,0001213900-26-057053
2026-05-15,2026-05-15,Guo Jian,Director; Officer; Chief Financial Officer,Common Stock,non-derivative,F,D,2733,26.2819,36329,0001213900-26-058012
2026-05-15,2026-05-15,Quire Daniel,Officer; Chief Revenue Officer,Common Stock,non-derivative,F,D,2065,26.2819,23631,0001213900-26-058009
2026-05-15,2026-05-15,Yu Alan,Director; Officer; 10% Owner; Chief Executive Officer,Common Stock,non-derivative,F,D,2124,26.2819,6097181,0001213900-26-058011
2026-08-14,2026-08-13,Guo Jian,Director; Officer; Chief Financial Officer,Common Stock,non-derivative,M,A,4700,16.53,41029,0001213900-26-090359
2026-08-14,2026-08-13,Guo Jian,Director; Officer; Chief Financial Officer,Stock Option (right to buy),derivative,M,D,4700,0,31850,0001213900-26-090359
2026-08-21,2026-08-20,Cheng Marvin,"Officer; 10% Owner; VP-Manufacturing, Secy",Common Stock,non-derivative,S,D,4500,47.33,3000,0001213900-26-092777
2026-09-02,2026-09-01,Cheng Marvin,"Officer; 10% Owner; VP-Manufacturing, Secy",Common Stock,non-derivative,S,D,2000,47.75,5255272,0001213900-26-096829
