measure,filers,n_firm_quarters_with_mention,p_next_q_given_mention,p_next_q_given_no_mention_ever_user,share_of_all_active_firm_quarters
ol_any,all,21829,0.6295753355627834,0.07335480985973333,0.05554933505697694
ol_any,non-financial,15706,0.6179803896600026,0.06987572162584801,
ol_any,financial,6123,0.6593173281071371,0.08541955475821578,
ol_positive,all,1788,0.6599552572706935,0.050776630134826146,0.004550011960322267
ol_positive,non-financial,305,0.5311475409836065,0.03417991929741277,
ol_positive,financial,1483,0.6864463924477411,0.0590318772136954,
ol_negative,all,345,0.6057971014492753,0.028695058073331815,0.0008779385493910414
ol_negative,non-financial,240,0.5208333333333334,0.029403528423410808,
ol_negative,financial,105,0.8,0.025609756097560974,
incremental,all,2717,0.5388295914611704,0.04507063032493638,0.006914084170131767
incremental,non-financial,2435,0.5593429158110883,0.04334569427276473,
incremental,financial,282,0.3617021276595745,0.05979599015124868,
absorption,all,2891,0.6205465236942235,0.04764758765358106,0.007356870568955075
absorption,non-financial,2813,0.6206896551724138,0.04739899656720359,
absorption,financial,78,0.6153846153846154,0.0565149136577708,
ol_any_release,all,10529,0.5583626175325292,0.054647441412299116,0.026793666627647175
ol_any_release,non-financial,7482,0.5201817695803261,0.05217916283348666,
ol_any_release,financial,3047,0.6521168362323597,0.06439888693281845,
